#{"t_start": 1776413381.8421514, "env_id": "None"}
r,l,t
-1750.885358,621,1.527957
-6971.427767,1080,2.158295
-1816.066833,865,3.377345
-2646.638297,696,3.809238
-3280.265411,697,4.240804
-7439.129274,1080,5.609459
-6333.90915,1080,6.211061
-5677.559538,1080,7.549991
-5137.001376,1080,8.862267
-5546.921673,1080,9.523785
-6018.525461,1080,10.875946
-5550.278492,1080,11.526982
-5507.762484,1080,12.933244
-6591.621015,1080,13.539298
-7155.028623,1080,14.946717
-6897.080564,904,15.487972
-5822.946836,897,16.687632
-6996.546215,1080,17.341758
-7529.157001,1080,18.703263
-5802.675842,1080,19.340263
-5994.283422,1080,20.742321
-5856.192819,1080,21.369308
-7422.144199,1080,22.757381
-5504.754547,1080,23.378099
-7516.315745,1080,24.728798
-7199.909309,1080,25.345185
-5888.206804,1080,26.732408
-5903.632657,1080,27.349133
-6331.686549,1080,28.673651
-6063.09958,1080,29.307448
-5938.806401,1080,30.694544
-6688.636194,1080,31.331333
-6095.149709,1080,32.701496
-7587.606994,1080,34.055826
-7022.645329,1080,34.724173
-6466.288007,1080,36.118136
-5906.787472,1080,36.745788
-6753.796901,1080,38.107283
-7723.148555,1080,38.726526
-6827.607229,1080,40.129679
-7435.930794,1080,40.753085
-7008.823157,1080,42.135034
-7179.925328,1080,42.754174
-7969.459195,1080,44.035803
-6959.428784,1080,44.669287
-7480.685167,1080,46.027864
-6374.750177,1080,46.641671
-6517.736269,1080,47.967769
-6955.769496,1080,48.607808
-7157.792087,1080,50.308478
-7751.896829,1077,51.587444
-6493.137446,954,52.207767
-7585.697056,1080,53.583712
-7639.311962,1080,54.268369
-7719.642737,1080,55.662818
-7102.525355,1080,56.324423
-7399.085877,1080,57.690182
-7728.619632,1080,58.320549
-6943.853678,1080,59.685082
-6498.745004,1080,60.320946
-7165.021843,1080,61.665742
-7129.898747,1080,62.289695
-6716.952335,1080,63.66226
-7103.210174,1043,64.274436
-7488.687399,1080,65.637588
-5929.577263,896,66.160363
-7184.910184,1037,67.580768
-6188.663646,1021,68.173847
-6744.485365,961,69.475527
-6831.178622,1052,70.112815
-5234.574327,869,71.438325
-5929.686771,1033,72.044231
-6561.700542,991,73.443243
-4447.574169,821,73.931276
-6223.450368,1066,75.261337
-4544.45566,898,75.830823
-3311.145955,728,76.284085
-4706.954537,914,77.568273
-5298.469711,1048,78.179904
-5402.808306,1080,79.56695
-5891.263174,1080,80.205956
-5131.269822,1080,81.571096
-5596.143232,1080,82.208396
-5507.332382,1080,83.615493
-5561.715846,1038,84.219805
-5119.737801,1080,85.536796
-5749.580402,1040,86.894127
-4674.65203,1080,87.58389
-4992.316927,1080,88.96045
-4952.577691,1080,89.631271
-4883.931052,1080,90.997433
-5162.518791,1080,91.630724
-4425.099082,1080,93.001318
-4523.731099,1080,93.611558
-3855.303561,1080,95.020358
-3448.087367,1080,95.646684
-4409.646823,1080,97.071071
-5133.319128,1080,97.6834
-4594.519224,1080,99.064122
-4113.600153,1080,99.946299
-4706.635442,1080,101.37325
-4001.436274,1080,102.001201
-4505.228452,1080,103.36361
-4606.11077,1080,104.000858
-5262.976527,1080,105.360156
-4111.277109,1080,106.740186
-2642.271895,1080,107.407915
-4794.965355,1080,108.75904
-4692.348888,1080,109.398157
-4190.085114,1080,110.817295
-5205.145678,1080,111.424456
-4769.972242,1080,112.822537
-4398.632475,1080,113.436348
-4979.202787,1080,114.830981
-3861.956728,1080,115.448513
-4719.397499,1080,116.849051
-4920.651838,1080,117.477746
-4819.025483,1080,118.86318
-3620.53042,1080,119.474202
-4571.533276,1080,120.867666
-5251.703117,1080,121.483233
-4021.985322,1080,122.884869
-3983.654616,1080,123.50988
-4339.228265,1080,124.940151
-5020.400788,1080,126.35917
-3871.183597,1080,127.036595
-3669.527698,1080,128.433672
-3502.740672,1080,129.064564
-3465.063776,1080,130.456415
-3583.04633,1080,131.087792
-4285.824483,1080,132.485718
-3613.183726,1080,133.116706
-2916.759772,1080,134.494659
-3087.088452,1080,135.104309
-3020.658884,1080,136.469594
-3522.867191,1080,137.08347
-2161.155491,1080,138.465307
-3770.971601,1080,139.087684
-2955.085233,1080,140.466386
-2483.515182,1080,141.105461
-3985.633605,1080,142.512023
-3129.944462,1080,143.871913
-2342.919891,1080,144.552954
-2532.97561,1080,145.887574
-2687.622703,1080,146.539002
-2499.788863,1080,147.938384
-2828.17129,1080,148.552256
-2683.490463,1080,149.994765
-2613.885143,1080,150.610247
-3017.470618,1080,152.253186
-2598.338243,1080,152.876775
-2885.036675,1080,154.255578
-2632.578974,1080,154.877778
-3181.997805,1080,156.245231
-2984.15184,1080,156.877647
-3665.06672,1080,158.220671
-3895.236779,1080,158.845359
-3086.492449,1080,160.224685
-2872.880757,1080,160.83901
-3045.046071,1080,162.215503
-4044.293858,1080,163.537857
-3098.33131,1080,164.213349
-3670.360374,1080,165.539793
-4026.541659,1080,166.199661
-3678.059406,1080,167.521027
-3550.825664,1080,168.147001
-2884.549064,1080,169.482658
-3073.203758,1080,170.106161
-3095.914831,1080,171.478254
-4187.546775,1080,172.112663
-3179.825511,1080,173.456717
-3167.445548,1080,174.090671
-3537.787393,1080,175.538287
-3541.339059,1080,176.162777
-4427.799118,1080,177.555462
-3648.076811,1080,178.174685
-35.023599,1080,179.544742
-3619.387402,1080,180.183634
-3940.459753,1080,181.545371
-3185.133122,1080,182.942194
3123.952363,1080,183.592555
-3533.349698,1080,184.940063
-1625.644329,1080,185.550269
-3203.317264,1080,186.96616
-3091.878425,1080,187.579004
-3076.635141,1080,188.946827
-3427.591006,1080,189.58314
-3396.59837,1080,190.925956
-3198.809707,1080,191.564842
-3718.708792,1080,192.952467
-2857.602892,1080,193.57962
-2996.690749,1080,194.987774
-2084.046466,1080,195.604968
-2818.800474,1080,197.026297
-3020.001285,1080,197.663742
-997.867992,1080,199.055799
-3043.751356,1080,200.412018
-3929.951942,1080,201.097679
-3696.462754,1080,202.481357
-3254.548179,1080,203.372137
-3682.147834,1080,204.714744
-2828.301602,1080,205.359478
-2870.890643,1080,206.700153
-3641.899918,1080,207.334339
-2424.671185,1080,208.721253
-2573.786193,1080,209.340794
-2693.67676,1080,210.74127
-2989.083743,1080,211.360969
-3155.205239,1080,212.742937
-3281.665571,1080,213.363449
-3075.136185,1080,214.731983
-3071.794325,1080,215.359532
-3598.497191,1080,216.665567
-3417.758259,1080,217.305872
-2895.486128,1080,218.621121
-3801.777094,1080,219.925319
-2952.967087,1080,220.600096
-3640.10159,1080,222.023642
-2603.993184,1080,222.676532
-2556.591163,1080,224.115415
-2787.642389,1080,224.737867
-2496.19769,1080,226.093908
-637.583568,1080,226.71705
-3351.165631,1080,228.087647
-2999.781809,1080,228.692099
-2383.126355,1080,230.065247
-2997.986376,1080,230.69242
-1866.070394,1080,232.056414
-4023.255542,1080,232.694937
-3226.444325,1080,234.094025
-2433.23497,1080,234.723524
-2751.594086,1080,236.090955
-3123.105987,1080,236.717119
-2485.888393,1080,238.132584
-2203.115667,1080,239.458957
-2523.32176,1080,240.125431
-1657.087954,1080,241.511238
-2795.885442,1080,242.147136
-2877.676451,1080,243.547763
-2742.99747,1080,244.17363
-1198.44808,1080,245.557088
-2444.512153,1080,246.158528
-1839.796451,1080,247.566908
-2527.981843,1080,248.19538
-1819.012608,1080,249.552156
-3172.418671,1080,250.177951
-2494.210641,1080,251.589954
-2550.246538,1080,252.222443
-2407.951035,1080,253.58689
-2682.366121,1080,254.445811
-771.231471,1080,255.861107
-2682.489102,1080,257.168378
-1895.675108,1080,257.8298
-2706.265882,1080,259.16633
-3583.957227,1080,259.840207
-2072.169011,1080,261.236532
-2222.508618,1080,261.868323
-2512.536928,1080,263.233639
-3118.414106,1080,263.852829
-2201.628056,1080,265.240869
-2207.428438,1080,265.873656
-2476.960837,1080,267.223459
-4017.801948,1080,267.855205
-2825.350643,1080,269.220073
-2102.44704,1080,269.839134
-2724.399507,1080,271.213637
-2915.882114,1080,271.84295
-2587.046913,1080,273.272283
-2684.356291,1080,273.918453
-2918.269408,1080,275.259247
-2320.367139,1080,276.607553
-2533.056871,1080,277.283297
-2598.677902,1080,278.702258
-3083.671757,1080,279.348286
-1225.140153,1080,280.647832
-1965.195453,1080,281.264514
-2881.959767,1080,282.714559
-1212.353932,1080,283.342432
-2551.539198,1080,284.68341
-2646.301575,1080,285.295942
-2517.07072,1080,286.741749
-2147.681102,1080,287.380297
-3486.758024,1080,288.825283
-2748.414311,1080,289.453834
-2753.562835,1080,290.865522
-2990.812062,1080,291.493515
-2597.664086,1080,292.87418
-2599.074521,1080,294.161891
-2326.130206,1080,294.838898
-2191.708503,1080,296.185358
-2024.392091,1080,296.852361
-2949.530396,1080,298.202876
-1703.604616,1080,298.854096
-2909.349977,1080,300.290101
-2488.958096,1080,300.914625
-3345.883558,1080,302.338568
-2539.72404,1080,302.971763
-3361.145804,1080,304.391635
-2788.162732,1080,305.017707
-2582.862814,1080,306.645057
-2023.499925,1080,307.26814
-2624.284741,1080,308.636057
-2631.232484,1080,309.275434
-2874.570901,1080,310.683588
-1905.787686,1080,311.302931
-2696.776323,1080,312.706549
-2469.296643,1080,313.960068
-2927.985866,1080,314.639235
-1802.019147,1080,315.931876
-1803.094833,1080,316.587102
-2351.205549,1080,317.930426
-3065.661572,1080,318.556751
-1727.296068,1080,319.948537
-2052.870047,1080,320.576175
