step,position_km,velocity_kmh,action,tve_reward,tce_penalty,ic_penalty,ef_penalty,sl_penalty,de_bonus,step_total_reward
1210,0.0006055550632043224,14.26761302947998,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1220,0.002311585637942848,28.525201034545898,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1230,0.005117273743093017,42.77165336608887,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1240,0.009021709924256447,57.00578727722168,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1250,0.014023893556691598,71.22642517089844,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1260,0.01898503735663673,58.626425170898436,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1270,0.024112202448361496,72.8454460144043,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1280,0.030335893448963897,87.04966278076172,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1290,0.03651796617406213,74.44966278076173,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1300,0.04286536603490815,88.6521354675293,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1310,0.05030795933840656,102.83849258422852,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1320,0.05770830617109379,90.23849258422852,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1330,0.0646543932287898,89.8437126159668,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1340,0.07105205600675123,77.2437126159668,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1350,0.07761491686369003,91.4431022644043,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1360,0.08527272411716708,105.62616348266602,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1370,0.09288816869319327,93.02616348266602,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1380,0.09953139104699724,80.42616348266601,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1390,0.10572128477815314,80.05330123901368,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1400,0.111363515001536,67.45330123901367,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1410,0.11603352300269665,54.853304672241215,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1420,0.12086970860380501,69.07605743408203,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1430,0.1261848398962302,68.72715225219727,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1440,0.1320909464505052,82.93578414916992,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1450,0.1379555900414706,70.33578414916992,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1460,0.14284801141021375,57.73578414916992,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1470,0.1479064912871973,71.95569076538087,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1480,0.1540615687075219,86.16086883544922,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1490,0.16069341692123038,85.77533111572266,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1500,0.16677716175622467,73.17533111572266,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1510,0.17188868436899676,60.575331115722655,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1520,0.17654861548060363,60.243386077880864,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1530,0.18066230243750983,47.64338264465332,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1540,0.18494245580718852,61.87302932739258,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1550,0.1903199933841271,76.08877487182617,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1560,0.19565631882422185,63.48877487182617,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1570,0.2000204220420944,50.88877830505371,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1580,0.20455086327356442,65.11536254882813,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1590,0.2090404743739145,52.51535911560059,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1600,0.2130791432595163,52.1986988067627,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1610,0.21657209853318063,39.5986988067627,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1620,0.220231827173321,53.83568229675293,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1630,0.22498953407141128,68.059423828125,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1640,0.2297063107654349,55.45942726135254,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1650,0.23345086523723632,42.85942726135254,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1660,0.23622319748681553,30.25942726135254,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1670,0.2380233075141725,17.65942554473877,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1680,0.23885119531930726,5.059425973892212,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1690,0.2398469910103314,19.323571014404298,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1700,0.2408032850699293,6.723571014404297,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1710,0.2419274391738347,20.98656806945801,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1720,0.2441516948012713,35.23905601501465,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1730,0.2474751908365024,49.479853820800784,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1740,0.25189697482948764,63.70777359008789,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1750,0.257416003313004,77.92164459228516,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1760,0.26289375345550947,65.32164459228515,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1770,0.2679195146087562,64.9803337097168,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1780,0.2723987068209608,52.38033027648926,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1790,0.2770441771549494,66.60548629760743,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1800,0.2827866682066428,80.8163429260254,0,28.712455258465752,-1.0,0.0,-0.5,0.0,0.0,27.212455258465752
1810,0.2884877749604172,68.21634292602539,2,28.505533768872056,-1.0,-4.0,0.0,0.0,0.0,23.505533768872056
1820,0.2937366447938492,67.86919555664063,1,31.49321900059249,-1.0,-2.0,0.0,0.0,0.0,28.49321900059249
1830,0.29895875836098107,67.52274856567384,1,31.332681402790968,-1.0,0.0,0.0,0.0,0.0,30.332681402790968
1840,0.3036341248808434,54.92274856567383,2,23.37683259931282,-1.0,-2.0,0.0,0.0,0.0,20.37683259931282
1850,0.3073372691784835,42.32274856567383,2,18.515721488199688,-1.0,0.0,0.0,0.0,0.0,17.515721488199688
1860,0.31059024600196616,42.024335861206055,1,19.517860940897208,-1.0,-2.0,0.0,0.0,0.0,16.517860940897208
1870,0.31382021893808315,41.72643814086914,1,19.379837616701025,-1.0,0.0,0.0,0.0,0.0,18.379837616701025
1880,0.31764404520604533,55.9615161895752,0,19.11913133981102,-1.0,-2.0,-0.5,0.0,0.0,15.61913133981102
1890,0.32256569545940483,70.18318405151368,0,24.608251266796515,-1.0,0.0,-0.5,0.0,0.0,23.108251266796515
1900,0.32744634221941454,57.583180618286136,2,24.403233800048838,-1.0,-4.0,0.0,0.0,0.0,19.403233800048838
1910,0.3324930538443305,71.80324172973633,0,25.233558124580213,-1.0,-4.0,-0.5,0.0,0.0,19.733558124580213
1920,0.33863637525012985,86.00858459472657,0,30.71660702899635,-1.0,0.0,-0.5,0.0,0.0,29.21660702899635
1930,0.3458751208364787,100.19803848266602,0,0.0,-1.0,0.0,-0.5,-0.015280723571777344,0.0,-1.5152807235717773
1940,0.3542080149374078,114.37042922973633,0,0.0,-1.0,0.0,-0.5,-1.1088290214538574,0.0,-2.6088290214538574
1950,0.3624981715403519,101.77042922973634,2,0.0,-1.0,-4.0,0.0,-0.13660717010498047,0.0,-5.1366071701049805
1960,0.3698161059210737,89.17042922973633,2,36.58967190360954,-1.0,0.0,0.0,0.0,0.0,35.58967190360954
1970,0.3761618180795734,76.57042922973633,2,31.728560792497547,-1.0,0.0,0.0,0.0,0.0,30.728560792497547
1980,0.3815353080158507,63.97042922973633,2,26.867449681387825,-1.0,0.0,0.0,0.0,0.0,25.867449681387825
1990,0.387074591785834,78.18402557373047,0,27.69641884991529,-1.0,-4.0,-0.5,0.0,0.0,22.19641884991529
2000,0.39257258768111986,65.58402557373047,2,27.489979476430335,-1.0,-4.0,0.0,0.0,0.0,22.489979476430335
2010,0.39761857228591346,65.24219284057618,1,30.27590762876025,-1.0,-2.0,0.0,0.0,0.0,27.27590762876025
2020,0.4021179697275693,52.64218940734863,2,22.496987208280643,-1.0,-2.0,0.0,0.0,0.0,19.496987208280643
2030,0.4067836347190605,66.86709136962891,0,23.328324957454925,-1.0,-4.0,-0.5,0.0,0.0,17.828324957454925
2040,0.4125463000383988,81.07768020629884,0,28.813326596691695,-1.0,0.0,-0.5,0.0,0.0,27.313326596691695
2050,0.41940481145312164,95.2727783203125,0,34.29255707361449,-1.0,0.0,-0.5,0.0,0.0,32.79255707361449
2060,0.4262213837752595,82.6727783203125,2,34.082861610688724,-1.0,-4.0,0.0,0.0,0.0,29.082861610688724
2070,0.43206573387517505,70.07277832031251,2,29.221750499577865,-1.0,0.0,0.0,0.0,0.0,28.221750499577865
2080,0.4369378617528684,57.4727783203125,2,24.360639388467007,-1.0,0.0,0.0,0.0,0.0,23.360639388467007
2090,0.4419760590908709,71.6929527282715,0,25.190986690012096,-1.0,-4.0,-0.5,0.0,0.0,19.690986690012096
2100,0.4474928822877389,71.33865737915039,1,33.100939181208105,-1.0,-2.0,0.0,0.0,0.0,30.100939181208105
2110,0.45246268615385565,58.73865737915039,2,24.849019330583815,-1.0,-2.0,0.0,0.0,0.0,21.849019330583815
2120,0.45759850660788454,72.957568359375,0,25.679102270144085,-1.0,-4.0,-0.5,0.0,0.0,20.179102270144085
2130,0.4626932264377904,60.357568359375,2,25.47359914952949,-1.0,-4.0,0.0,0.0,0.0,20.47359914952949
2140,0.4679538946559634,74.5748519897461,0,26.30334109086448,-1.0,-4.0,-0.5,0.0,0.0,20.80334109086448
2150,0.47431094852047445,88.77718734741211,0,31.785269322555223,-1.0,0.0,-0.5,0.0,0.0,30.285269322555223
2160,0.48114442201717605,88.38573760986328,1,41.000840980210796,-1.0,-2.0,0.0,0.0,0.0,38.000840980210796
2170,0.4879477289522965,87.99518051147462,1,40.819841610722506,-1.0,0.0,0.0,0.0,0.0,39.819841610722506
2180,0.49420275825385995,75.3951805114746,2,31.27514650781677,-1.0,-2.0,0.0,0.0,0.0,28.27514650781677
