step_range,duration_sec,action,vel_kmh_change,pos_km_change,sum_tve_reward,sum_ic_penalty,sum_ef_penalty,sum_sl_penalty,total_reward
1210 -> 1210,0.1,1_惰行,-0.0 -> -0.0,0.000 -> 0.000,0.0,0.0,0.0,0.0,0.0
1220 -> 1230,0.2,0_加速,14.3 -> 28.5,0.001 -> 0.002,0.0,0.0,0.0,-10.0,-10.0
1240 -> 1240,0.1,2_ブレーキ,15.9 -> 15.9,0.004 -> 0.004,0.0,0.0,0.0,-5.0,-5.0
1250 -> 1330,0.9,0_加速,30.2 -> 143.7,0.006 -> 0.060,0.0,0.0,0.0,-45.0,-45.0
1340 -> 1340,0.1,1_惰行,143.2 -> 143.2,0.071 -> 0.071,0.0,0.0,0.0,-5.0,-5.0
1350 -> 1510,1.7,0_加速,157.3 -> 284.7,0.083 -> 0.372,0.0,0.0,0.0,-85.0,-85.0
1520 -> 1520,0.1,1_惰行,283.7 -> 283.7,0.394 -> 0.394,0.0,0.0,0.0,-5.0,-5.0
1530 -> 1640,1.2,0_加速,288.1 -> 326.8,0.416 -> 0.678,0.0,0.0,0.0,-60.0,-60.0
1650 -> 1650,0.1,1_惰行,325.5 -> 325.5,0.703 -> 0.703,0.0,0.0,0.0,-5.0,-5.0
1660 -> 1670,0.2,0_加速,328.4 -> 331.2,0.728 -> 0.754,0.0,0.0,0.0,-10.0,-10.0
1680 -> 1700,0.3,1_惰行,329.9 -> 327.4,0.779 -> 0.830,0.0,0.0,0.0,-15.0,-15.0
1710 -> 1710,0.1,0_加速,330.2 -> 330.2,0.855 -> 0.855,0.0,0.0,0.0,-5.0,-5.0
1720 -> 1720,0.1,1_惰行,328.9 -> 328.9,0.881 -> 0.881,0.0,0.0,0.0,-5.0,-5.0
1730 -> 1790,0.7,0_加速,331.7 -> 347.0,0.906 -> 1.064,0.0,0.0,0.0,-35.0,-35.0
1800 -> 1800,0.1,0_加速,349.3 -> 349.3,1.090 -> 1.090,1343.7,0.0,-2.2,-38.5,1303.0
1810 -> 1810,0.1,0_加速,351.7 -> 351.7,1.117 -> 1.117,1352.7,0.0,-2.2,-38.8,1311.7
1820 -> 1820,0.1,0_加速,353.9 -> 353.9,1.145 -> 1.145,1361.5,0.0,-2.2,-39.2,1320.2
1830 -> 1830,0.1,0_加速,356.2 -> 356.2,1.172 -> 1.172,1370.2,0.0,-2.2,-39.5,1328.5
1840 -> 1840,0.1,0_加速,358.4 -> 358.4,1.200 -> 1.200,1378.8,0.0,-2.2,-39.9,1336.7
1850 -> 1850,0.1,0_加速,360.5 -> 360.5,1.227 -> 1.227,1387.2,0.0,-2.2,-40.2,1344.8
