step_range,duration_sec,action,vel_kmh_change,pos_km_change,sum_tve_reward,sum_ic_penalty,sum_ef_penalty,sum_sl_penalty,total_reward
1210 -> 1220,0.2,1_惰行,-0.0 -> -0.0,0.000 -> 0.000,0.0,0.0,0.0,0.0,0.0
1230 -> 1230,0.1,0_加速,14.3 -> 14.3,0.001 -> 0.001,0.0,0.0,0.0,-5.0,-5.0
1240 -> 1240,0.1,1_惰行,14.0 -> 14.0,0.002 -> 0.002,0.0,0.0,0.0,-5.0,-5.0
1250 -> 1250,0.1,0_加速,28.3 -> 28.3,0.003 -> 0.003,0.0,0.0,0.0,-5.0,-5.0
1260 -> 1260,0.1,2_ブレーキ,15.7 -> 15.7,0.005 -> 0.005,0.0,0.0,0.0,-5.0,-5.0
1270 -> 1290,0.3,0_加速,29.9 -> 58.4,0.007 -> 0.014,0.0,0.0,0.0,-15.0,-15.0
1300 -> 1300,0.1,2_ブレーキ,45.8 -> 45.8,0.018 -> 0.018,0.0,0.0,0.0,-5.0,-5.0
1310 -> 1310,0.1,0_加速,60.0 -> 60.0,0.022 -> 0.022,0.0,0.0,0.0,-5.0,-5.0
1320 -> 1320,0.1,2_ブレーキ,47.4 -> 47.4,0.026 -> 0.026,0.0,0.0,0.0,-5.0,-5.0
1330 -> 1330,0.1,1_惰行,47.1 -> 47.1,0.030 -> 0.030,0.0,0.0,0.0,-5.0,-5.0
1340 -> 1360,0.3,0_加速,61.4 -> 89.8,0.034 -> 0.046,0.0,0.0,0.0,-15.0,-15.0
1370 -> 1380,0.2,1_惰行,89.4 -> 89.0,0.053 -> 0.059,0.0,0.0,0.0,-10.0,-10.0
1390 -> 1390,0.1,0_加速,103.2 -> 103.2,0.067 -> 0.067,0.0,0.0,0.0,-5.0,-5.0
1400 -> 1410,0.2,1_惰行,102.8 -> 102.3,0.075 -> 0.083,0.0,0.0,0.0,-10.0,-10.0
1420 -> 1420,0.1,0_加速,116.5 -> 116.5,0.091 -> 0.091,0.0,0.0,0.0,-5.0,-5.0
1430 -> 1430,0.1,1_惰行,116.0 -> 116.0,0.100 -> 0.100,0.0,0.0,0.0,-5.0,-5.0
1440 -> 1440,0.1,0_加速,130.2 -> 130.2,0.110 -> 0.110,0.0,0.0,0.0,-5.0,-5.0
1450 -> 1450,0.1,2_ブレーキ,117.6 -> 117.6,0.119 -> 0.119,0.0,0.0,0.0,-5.0,-5.0
