step,time_s,status,status_name,edge_id,position_km,cumulative_position_km,velocity_kmh,acceleration_ms2
0,0.0,6,CONSTANT_SPEED,edge1,0.0,0.0,0.0,0.0
1,0.1,8,POWER_RUN,edge1,1.4941399171118361e-05,1.4941399171118361e-05,0.537890370160261,5.378903701602609
2,0.2,8,POWER_RUN,edge1,4.4822933616055165e-05,4.4822933616055165e-05,1.0757352400177247,5.378448698574636
3,0.3,8,POWER_RUN,edge1,8.964331646610115e-05,8.964331646610115e-05,1.6135337826016554,5.377985425839307
4,0.4,8,POWER_RUN,edge1,0.00014940123788902647,0.00014940123788902647,2.1512851712253114,5.377513886236559
5,0.5,8,POWER_RUN,edge1,0.0002240953650971101,0.0002240953650971101,2.68898857949101,5.377034082656985
6,0.6,8,POWER_RUN,edge1,0.0003137243423553098,0.0003137243423553098,3.2266431812951892,5.3765460180417906
7,0.7,8,POWER_RUN,edge1,0.00041828679098957275,0.00041828679098957275,3.764248150833465,5.376049695382759
8,0.8,8,POWER_RUN,edge1,0.0005377813093952863,0.0005377813093952863,4.301802662605686,5.375545117722208
9,0.9,8,POWER_RUN,edge1,0.0006722064730458691,0.0006722064730458691,4.839305891420982,5.375032288152959
10,1.0,8,POWER_RUN,edge1,0.0008215608345015028,0.0008215608345015028,5.376757012402811,5.374511209818286
11,1.1,8,POWER_RUN,edge1,0.0009858429234180027,0.0009858429234180027,5.914155200993999,5.373981885911884
12,1.2,8,POWER_RUN,edge1,0.0011650512465558299,0.0011650512465558299,6.451499632961781,5.373444319677819
13,1.3,8,POWER_RUN,edge1,0.001359184287789242,0.001359184287789242,6.98878948440283,5.372898514410494
14,1.4,8,POWER_RUN,edge1,0.0015682405081155833,0.0015682405081155833,7.52602393174829,5.372344473454599
15,1.5,8,POWER_RUN,edge1,0.0017922183456647166,0.0017922183456647166,8.063202151768797,5.371782200205072
16,1.6,8,POWER_RUN,edge1,0.0020311162157085915,0.0020311162157085915,8.600323321579502,5.371211698107055
17,1.7,8,POWER_RUN,edge1,0.002284932510670955,0.002284932510670955,9.137386618645087,5.370632970655842
18,1.8,8,POWER_RUN,edge1,0.0025536656001371987,0.0025536656001371987,9.674391220784772,5.370046021396847
19,1.9,8,POWER_RUN,edge1,0.0028373138308643467,0.0028373138308643467,10.211336306177326,5.369450853925544
20,2.0,8,POWER_RUN,edge1,0.003135875526791182,0.003135875526791182,10.74822105336607,5.368847471887428
21,2.1,8,POWER_RUN,edge1,0.0034493489890485116,0.0034493489890485116,11.285044641263866,5.368235878977966
22,2.2,8,POWER_RUN,edge1,0.0037777324959695703,0.0037777324959695703,11.82180624915812,5.3676160789425476
23,2.3,8,POWER_RUN,edge1,0.004121024303100564,0.004121024303100564,12.358505056715764,5.3669880755764385
24,2.4,8,POWER_RUN,edge1,0.0044792226432113485,0.0044792226432113485,12.895140243988237,5.366351872724731
25,2.5,8,POWER_RUN,edge1,0.004852325726306251,0.004852325726306251,13.431710991416466,5.3657074742822894
26,2.6,8,POWER_RUN,edge1,0.005240331739635024,0.005240331739635024,13.968216479835837,5.365054884193708
27,2.7,8,POWER_RUN,edge1,0.005643238847703945,0.005643238847703945,14.504655890481162,5.364394106453251
28,2.8,8,POWER_RUN,edge1,0.006061045192287047,0.006061045192287047,15.041028404991643,5.363725145104808
29,2.9,8,POWER_RUN,edge1,0.0064937488924374865,0.0064937488924374865,15.577333205415826,5.363048004241834
30,3.0,8,POWER_RUN,edge1,0.006941348044499057,0.006941348044499057,16.113569474216558,5.362362688007303
31,3.1,8,POWER_RUN,edge1,0.007403840722117833,0.007403840722117833,16.649736394275923,5.361669200593652
32,3.2,8,POWER_RUN,edge1,0.007881224976253948,0.007881224976253948,17.185833148900194,5.360967546242723
33,3.3,8,POWER_RUN,edge1,0.008373498835193526,0.008373498835193526,17.721858921824765,5.360257729245715
34,3.4,8,POWER_RUN,edge1,0.008880660304560722,0.008880660304560722,18.257812897219075,5.359539753943121
35,3.5,8,POWER_RUN,edge1,0.009402707367329932,0.009402707367329932,18.79369425969154,5.358813624724679
36,3.6,8,POWER_RUN,edge1,0.009939637983838111,0.009939637983838111,19.329502194294474,5.358079346029306
37,3.7,8,POWER_RUN,edge1,0.01049145009179725,0.01049145009179725,19.86523588652898,5.357336922345049
38,3.8,8,POWER_RUN,edge1,0.011058141606306969,0.011058141606306969,20.40089452234988,5.356586358209025
39,3.9,8,POWER_RUN,edge1,0.011639710419867264,0.011639710419867264,20.936477288170614,5.355827658207356
40,4.0,8,POWER_RUN,edge1,0.012236154402391378,0.012236154402391378,21.471983370868127,5.355060826975118
41,4.1,8,POWER_RUN,edge1,0.012847471401218816,0.012847471401218816,22.007411957787756,5.354285869196275
42,4.2,8,POWER_RUN,edge1,0.013473659241128486,0.013473659241128486,22.542762236748118,5.353502789603623
43,4.3,8,POWER_RUN,edge1,0.014114715724351986,0.014114715724351986,23.07803339604599,5.352711592978724
44,4.4,8,POWER_RUN,edge1,0.01477063863058702,0.01477063863058702,23.613224624461175,5.351912284151847
45,4.5,8,POWER_RUN,edge1,0.015441425717010945,0.015441425717010945,24.148335111261368,5.351104868001908
46,4.6,8,POWER_RUN,edge1,0.016127074718294474,0.016127074718294474,24.683364046207007,5.350289349456397
