step,time_s,status,status_name,edge_id,position_km,cumulative_position_km,velocity_kmh,acceleration_ms2
0,0.0,6,CONSTANT_SPEED,edge1,0.0,0.0,0.0,0.0
1,0.1,8,POWER_RUN,edge1,1.101209339762943e-05,1.101209339762943e-05,0.3964353623146595,3.964353623146595
2,0.2,8,POWER_RUN,edge1,3.303559529645212e-05,3.303559529645212e-05,0.7928460683576167,3.9641070604295723
3,0.3,8,POWER_RUN,edge1,6.606981160299673e-05,6.606981160299673e-05,1.1892317870356057,3.96385718677989
4,0.4,8,POWER_RUN,edge1,0.00011011403902907208,0.00011011403902907208,1.5855921873387127,3.963604003031068
5,0.5,8,POWER_RUN,edge1,0.0001651675650941131,0.0001651675650941131,1.9819269383414768,3.963347510027642
6,0.6,8,POWER_RUN,edge1,0.00023122966812755735,0.00023122966812755735,2.378235709203993,3.9630877086251615
7,0.7,8,POWER_RUN,edge1,0.0003082996172712521,0.0003082996172712521,2.774518169173011,3.9628245996901814
8,0.8,8,POWER_RUN,edge1,0.00039637667248189205,0.00039637667248189205,3.1707739875830367,3.9625581841002564
9,0.9,8,POWER_RUN,edge1,0.0004954600845334873,0.0004954600845334873,3.56700283385743,3.962288462743936
10,1.0,8,POWER_RUN,edge1,0.0006055490950198625,0.0006055490950198625,3.9632043775095056,3.962015436520755
11,1.1,8,POWER_RUN,edge1,0.0007266429363571855,0.0007266429363571855,4.3593782881436285,3.961739106341232
12,1.2,8,POWER_RUN,edge1,0.0008587408317865275,0.0008587408317865275,4.755524235456314,3.9614594731268586
13,1.3,8,POWER_RUN,edge1,0.0010018419953764532,0.0010018419953764532,5.1516418892373235,3.9611765378100943
14,1.4,8,POWER_RUN,edge1,0.001155945632025641,0.001155945632025641,5.54773091937076,3.96089030133436
15,1.5,8,POWER_RUN,edge1,0.0013210509374655345,0.0013210509374655345,5.943790995836163,3.9606007646540333
16,1.6,8,POWER_RUN,edge1,0.0014971570982630236,0.0014971570982630236,6.339821788709607,3.9603079287344376
17,1.7,8,POWER_RUN,edge1,0.0016842632918231566,0.0016842632918231566,6.735822968164791,3.960011794551838
18,1.8,8,POWER_RUN,edge1,0.0018823686863918827,0.0018823686863918827,7.131794204474135,3.9597123630934346
19,1.9,8,POWER_RUN,edge1,0.0020914724410588236,0.0020914724410588236,7.52773516800987,3.959409635357354
20,2.0,8,POWER_RUN,edge1,0.0023115737057600775,0.0023115737057600775,7.923645529245134,3.9591036123526435
21,2.1,8,POWER_RUN,edge1,0.0025426716212810516,0.0025426716212810516,8.31952495875506,3.958794295099264
22,2.2,8,POWER_RUN,edge1,0.002784765319259326,0.002784765319259326,8.71537312721787,3.9584816846280813
23,2.3,8,POWER_RUN,edge1,0.003037853922187547,0.003037853922187547,9.111189705415956,3.9581657819808598
24,2.4,8,POWER_RUN,edge1,0.003301936543416352,0.003301936543416352,9.506974364236982,3.957846588210256
25,2.5,8,POWER_RUN,edge1,0.003577012287157323,0.003577012287157323,9.902726774674962,3.9575241043798095
26,2.6,8,POWER_RUN,edge1,0.003863080248485972,0.003863080248485972,10.298446607831355,3.957198331563936
27,2.7,8,POWER_RUN,edge1,0.004160139513344754,0.004160139513344754,10.694133534916148,3.9568692708479203
28,2.8,8,POWER_RUN,edge1,0.004468189158546114,0.004468189158546114,11.089787227248939,3.956536923327908
29,2.9,8,POWER_RUN,edge1,0.004787228251775559,0.004787228251775559,11.485407356260028,3.9562012901108976
30,3.0,8,POWER_RUN,edge1,0.005117255851594767,0.005117255851594767,11.880993593491501,3.9558623723147344
31,3.1,8,POWER_RUN,edge1,0.00545827100744472,0.00545827100744472,12.276545610598312,3.9555201710680987
32,3.2,7,COASTING,edge1,0.005799053205366225,0.005799053205366225,12.268159125174181,-0.08386485424130954
33,3.3,7,COASTING,edge1,0.006139602486244275,0.006139602486244275,12.259774111609788,-0.08385013564392876
34,3.4,7,COASTING,edge1,0.006479918890948418,0.006479918890948418,12.251390569349152,-0.08383542260637268
35,3.5,7,COASTING,edge1,0.006820002460332766,0.006820002460332766,12.243008497836541,-0.08382071512609872
36,3.6,7,COASTING,edge1,0.0071598532352360016,0.0071598532352360016,12.234627896516486,-0.08380601320056569
37,3.7,7,COASTING,edge1,0.007499471256481384,0.007499471256481384,12.226248764833763,-0.08379131682723395
38,3.8,7,COASTING,edge1,0.007838856564876756,0.007838856564876756,12.217871102233406,-0.08377662600356539
39,3.9,7,COASTING,edge1,0.008178009201214554,0.008178009201214554,12.209494908160703,-0.08376194072702338
40,4.0,7,COASTING,edge1,0.00851692920627181,0.00851692920627181,12.201120182061196,-0.0837472609950728
41,4.1,7,COASTING,edge1,0.008855616620810162,0.008855616620810162,12.192746923380678,-0.08373258680518005
42,4.2,7,COASTING,edge1,0.009194071485575862,0.009194071485575862,12.184375131565197,-0.08371791815481301
43,4.3,7,COASTING,edge1,0.00953229384129978,0.00953229384129978,12.176004806061053,-0.08370325504144105
44,4.4,7,COASTING,edge1,0.009870283728697414,0.009870283728697414,12.1676359463148,-0.08368859746253512
45,4.5,7,COASTING,edge1,0.010208041188468893,0.010208041188468893,12.159268551773243,-0.08367394541556758
46,4.6,7,COASTING,edge1,0.010545566261298989,0.010545566261298989,12.150902621883441,-0.08365929889801234
47,4.7,7,COASTING,edge1,0.01088285898785712,0.01088285898785712,12.142538156092707,-0.0836446579073448
48,4.8,7,COASTING,edge1,0.011219919408797359,0.011219919408797359,12.134175153848602,-0.08363002244104184
49,4.9,7,COASTING,edge1,0.01155674756475844,0.01155674756475844,12.125813614598943,-0.08361539249658187
50,5.0,7,COASTING,edge1,0.011893343496363768,0.011893343496363768,12.117453537791798,-0.08360076807144474
51,5.1,7,COASTING,edge1,0.01222970724422142,0.01222970724422142,12.109094922875487,-0.08358614916311186
52,5.2,7,COASTING,edge1,0.01256583884892416,0.01256583884892416,12.100737769298581,-0.08357153576906609
53,5.3,7,COASTING,edge1,0.012901738351049434,0.012901738351049434,12.092382076509901,-0.08355692788679181
54,5.4,7,COASTING,edge1,0.013237405791159392,0.013237405791159392,12.084027843958523,-0.08354232551377483
