step,position_km,velocity_kmh,action,tve_reward,tce_penalty,ic_penalty,ef_penalty,sl_penalty,de_bonus,step_total_reward
1210,0.0,-1.259999978542328,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1220,0.0,-1.259999978542328,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1230,0.0,-0.02357960119843483,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1240,0.0,-0.02357960119843483,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1250,0.0,-1.259999978542328,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1260,0.0,-1.259999978542328,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1270,0.0006055550632043224,14.26761302947998,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1280,0.002311585637942848,28.525201034545898,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1290,0.004500903059509584,28.249543762207033,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1300,0.006145929567860005,15.649543762207031,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1310,0.007342571039320047,15.393107414245605,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1320,0.008519441159683994,15.137033271789551,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1330,0.009152699925891418,2.537033700942993,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1340,0.009953937776154794,16.802888488769533,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1350,0.01071573468267837,4.202888059616089,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1360,0.011645463830025104,18.4676176071167,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1370,0.013059377717936515,18.2071403503418,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1380,0.013929527447213303,5.607140350341797,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1390,0.01496756939268146,19.870909881591796,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1400,0.015966096357519645,7.270909881591797,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1410,0.016100776506605404,-1.259999978542328,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1420,0.016100776506605404,-1.259999978542328,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1430,0.016100776506605404,-0.02357960119843483,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1440,0.016706325713974825,14.267537498474121,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1450,0.017272493708931993,1.6675371766090394,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1460,0.01800666496300647,15.933971214294434,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1470,0.019225235941057028,15.677131462097169,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1480,0.021039981975207084,29.933672332763674,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1490,0.02281495669783176,17.333672332763673,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1500,0.023617709198234207,4.733672332763672,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1510,0.024588378868611052,18.99804096221924,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1520,0.026043187701396554,18.73679294586182,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1530,0.02809392204272532,32.991019821166994,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1540,0.031244038736639466,47.233736801147465,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1550,0.0348755829937421,46.92668609619141,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1560,0.03796174696346891,34.32668609619141,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1570,0.04059831500712381,34.04173164367676,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1580,0.043212915639698736,33.75724411010742,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1590,0.04642212731271137,47.99930877685547,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1600,0.0507297302501894,62.22862243652344,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1610,0.05613469043554843,76.44401092529297,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1620,0.061498425706530836,63.84401092529297,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1630,0.06641029693826461,63.50563888549805,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1640,0.07191373744610552,77.71971588134765,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1650,0.07789504893360141,77.35271072387695,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1660,0.08446631508908486,91.55198364257812,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1670,0.09151362319081553,91.15417556762695,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1680,0.09853027531106749,90.75728759765626,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1690,0.10613519880381915,104.94115905761718,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1700,0.11483382402340041,119.10758972167969,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1710,0.12462475577178661,133.2554122924805,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1720,0.13488540168010568,132.75118103027344,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1730,0.14459382629430628,120.15118103027343,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1740,0.1538448566662129,119.68258666992188,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1750,0.16305978257830075,119.21522827148438,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1760,0.17172376643067322,106.61522827148438,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1770,0.17993182962499735,106.18133697509766,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1780,0.18872608087345089,120.34618835449218,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1790,0.1979921355685134,119.87707214355468,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1800,0.207222046126176,119.40920562744141,1,27.68973167298782,0.0,0.0,0.0,-1.4976239204406738,0.0,26.192108154296875
1810,0.21641590794116017,118.94256134033203,1,27.581585444951543,0.0,0.0,0.0,-1.4616169929504395,0.0,26.11996841430664
1820,0.22557381595881096,118.47715301513672,1,27.473724052952775,0.0,0.0,0.0,-1.425706386566162,0.0,26.048017501831055
1830,0.23418084951245344,105.87715301513673,2,25.82110066092787,0.0,-2.0,0.0,-0.45348405838012695,0.0,23.367616653442383
1840,0.24295164641542158,120.04238891601562,0,26.312390708903877,0.0,-5.0,-0.5,-1.546480655670166,0.0,19.265911102294922
1850,0.25167945433523814,107.44238891601563,2,26.183423759449624,0.0,-5.0,0.0,-0.5742583274841309,0.0,20.60916519165039
1860,0.26057094128469005,121.60561981201172,0,26.674460848356603,0.0,-5.0,-0.5,-1.667100429534912,0.0,19.507360458374023
1870,0.270554479298605,135.75005035400392,0,29.950614041744302,0.0,0.0,-0.5,-2.7584919929504395,0.0,26.692123413085938
1880,0.28049429754913385,123.15005035400391,2,29.819454751586363,0.0,-5.0,0.0,-1.7862696647644043,0.0,23.033184051513672
1890,0.29059691484355604,137.29235229492187,0,30.30785188326695,0.0,-5.0,-0.5,-2.8774962425231934,0.0,21.930355072021484
1900,0.30065573790099837,124.69235229492188,2,30.176469172327188,0.0,-5.0,0.0,-1.9052739143371582,0.0,23.271196365356445
1910,0.3108772702831207,138.83251190185547,0,30.664597146366532,0.0,-5.0,-0.5,-2.996335506439209,0.0,22.16826057434082
1920,0.3221890149223582,152.95248413085938,0,33.935233917712594,0.0,0.0,-0.5,-4.085839748382568,0.0,29.349393844604492
1930,0.33345618159743123,140.35248413085938,2,33.80150002521964,0.0,-5.0,0.0,-3.113617420196533,0.0,25.687883377075195
1940,0.34426358517729094,139.82810668945314,1,32.42221073957853,0.0,-2.0,0.0,-3.0731568336486816,0.0,27.34905433654785
1950,0.35565208838726686,153.9466094970703,0,34.16550962992824,0.0,-2.0,-0.5,-4.162546634674072,0.0,27.50296401977539
1960,0.36750671289498354,153.38200836181642,1,35.56387352314982,0.0,-2.0,0.0,-4.118981838226318,0.0,29.44489097595215
1970,0.3799401765421701,167.4799530029297,0,37.3003909415595,0.0,-2.0,-0.5,-5.206786632537842,0.0,29.593605041503906
1980,0.39232829034403477,154.87995300292968,2,37.16434140559386,0.0,-5.0,0.0,-4.234564304351807,0.0,27.929777145385742
1990,0.4048772380408976,168.9755630493164,0,37.64684309058839,0.0,-5.0,-0.5,-5.322188854217529,0.0,26.82465362548828
2000,0.4185079476843945,182.6207061767578,0,40.89212893049057,0.0,0.0,-0.5,-6.375054836273193,0.0,34.01707458496094
2010,0.43257117509095155,181.96416320800782,1,42.18968221967157,0.0,-2.0,0.0,-6.324395656585693,0.0,33.86528778076172
2020,0.4470994372603044,193.30208129882814,0,43.58478650805819,0.0,-2.0,-0.5,-7.199234485626221,0.0,33.88555145263672
2030,0.4614799990245381,180.70208129882812,2,43.14168529270137,0.0,-5.0,0.0,-6.2270121574401855,0.0,31.9146728515625
