step_range,duration_sec,action,vel_kmh_change,pos_km_change,sum_tve_reward,sum_ic_penalty,sum_ef_penalty,sum_sl_penalty,total_reward
1210 -> 1230,0.3,1_惰行,-0.0 -> -0.0,0.000 -> 0.000,0.0,0.0,0.0,0.0,0.0
1240 -> 1270,0.4,0_加速,14.3 -> 57.0,0.001 -> 0.009,0.0,0.0,0.0,-8.0,-8.0
1280 -> 1290,0.2,1_惰行,56.7 -> 56.4,0.013 -> 0.018,0.0,0.0,0.0,-4.0,-4.0
1300 -> 1310,0.2,0_加速,70.6 -> 84.8,0.023 -> 0.029,0.0,0.0,0.0,-4.0,-4.0
1320 -> 1320,0.1,1_惰行,84.4 -> 84.4,0.035 -> 0.035,0.0,0.0,0.0,-2.0,-2.0
1330 -> 1330,0.1,0_加速,98.6 -> 98.6,0.042 -> 0.042,0.0,0.0,0.0,-2.0,-2.0
1340 -> 1350,0.2,1_惰行,98.2 -> 97.8,0.050 -> 0.058,0.0,0.0,0.0,-4.0,-4.0
1360 -> 1360,0.1,0_加速,111.9 -> 111.9,0.066 -> 0.066,0.0,0.0,0.0,-2.0,-2.0
1370 -> 1370,0.1,1_惰行,111.5 -> 111.5,0.074 -> 0.074,0.0,0.0,0.0,-2.0,-2.0
1380 -> 1380,0.1,2_ブレーキ,98.9 -> 98.9,0.082 -> 0.082,0.0,0.0,0.0,-2.0,-2.0
1390 -> 1390,0.1,1_惰行,98.5 -> 98.5,0.090 -> 0.090,0.0,0.0,0.0,-2.0,-2.0
1400 -> 1410,0.2,0_加速,112.7 -> 126.8,0.098 -> 0.107,0.0,0.0,0.0,-4.0,-4.0
1420 -> 1450,0.4,1_惰行,126.3 -> 124.9,0.117 -> 0.146,0.0,0.0,0.0,-8.0,-8.0
1460 -> 1460,0.1,0_加速,139.0 -> 139.0,0.157 -> 0.157,0.0,0.0,0.0,-2.0,-2.0
1470 -> 1530,0.7,1_惰行,138.5 -> 135.4,0.167 -> 0.231,0.0,0.0,0.0,-14.0,-14.0
1540 -> 1540,0.1,0_加速,149.5 -> 149.5,0.242 -> 0.242,0.0,0.0,0.0,-2.0,-2.0
1550 -> 1580,0.4,1_惰行,149.0 -> 147.3,0.253 -> 0.287,0.0,0.0,0.0,-8.0,-8.0
1590 -> 1590,0.1,0_加速,161.4 -> 161.4,0.299 -> 0.299,0.0,0.0,0.0,-2.0,-2.0
1600 -> 1790,2.0,1_惰行,160.8 -> 150.0,0.312 -> 0.540,0.0,0.0,0.0,-40.0,-40.0
1800 -> 1800,0.1,0_加速,164.1 -> 164.1,0.552 -> 0.552,36.5,0.0,-0.5,-4.9,31.1
1810 -> 3290,14.9,1_惰行,163.5 -> 91.7,0.564 -> 1.994,4470.9,-2.0,0.0,-308.0,4193.1
3300 -> 3300,0.1,1_惰行,91.3 -> 91.3,2.001 -> 2.001,0.0,0.0,0.0,-17.0,-12.2
3310 -> 3310,0.1,1_惰行,90.9 -> 90.9,2.008 -> 2.008,0.0,0.0,0.0,-14.5,-10.2
3320 -> 3320,0.1,1_惰行,90.5 -> 90.5,2.015 -> 2.015,0.0,0.0,0.0,-12.5,-8.8
3330 -> 3330,0.1,1_惰行,90.1 -> 90.1,2.022 -> 2.022,0.0,0.0,0.0,-11.1,-7.9
3340 -> 3340,0.1,1_惰行,89.7 -> 89.7,2.029 -> 2.029,0.0,0.0,0.0,-10.0,-7.2
3350 -> 3350,0.1,1_惰行,89.3 -> 89.3,2.036 -> 2.036,0.0,0.0,0.0,-10.0,-7.6
3360 -> 3360,0.1,1_惰行,88.9 -> 88.9,2.043 -> 2.043,0.0,0.0,0.0,-10.0,-7.9
3370 -> 3370,0.1,1_惰行,88.5 -> 88.5,2.050 -> 2.050,0.0,0.0,0.0,-10.0,-8.2
3380 -> 3380,0.1,1_惰行,88.2 -> 88.2,2.057 -> 2.057,0.0,0.0,0.0,-10.0,-10.0
3390 -> 3390,0.1,1_惰行,87.8 -> 87.8,2.063 -> 2.063,0.0,0.0,0.0,-10.0,-10.0
