step_range,duration_sec,action,vel_kmh_change,pos_km_change,sum_tve_reward,sum_ic_penalty,sum_ef_penalty,sum_sl_penalty,total_reward
1210 -> 1220,0.2,2_ブレーキ,-1.3 -> -1.3,0.000 -> 0.000,2.0,0.0,0.0,0.0,2.0
1230 -> 1230,0.1,0_加速,14.3 -> 14.3,0.001 -> 0.001,0.0,0.0,0.0,-7.2,-7.2
1240 -> 1240,0.1,1_惰行,14.0 -> 14.0,0.002 -> 0.002,0.0,0.0,0.0,-7.2,-7.2
1250 -> 1250,0.1,2_ブレーキ,1.4 -> 1.4,0.002 -> 0.002,0.0,0.0,0.0,-5.2,-5.2
1260 -> 1270,0.2,1_惰行,1.2 -> 0.9,0.002 -> 0.002,0.0,0.0,0.0,0.0,0.0
1280 -> 1280,0.1,0_加速,15.2 -> 15.2,0.003 -> 0.003,0.0,0.0,0.0,-7.3,-7.3
1290 -> 1290,0.1,2_ブレーキ,2.6 -> 2.6,0.004 -> 0.004,0.0,0.0,0.0,-5.4,-5.4
1300 -> 1320,0.3,1_惰行,2.4 -> 1.9,0.004 -> 0.004,0.0,0.0,0.0,-16.0,-16.0
1330 -> 1340,0.2,2_ブレーキ,-1.3 -> -1.3,0.004 -> 0.004,2.0,0.0,0.0,0.0,2.0
1350 -> 1350,0.1,1_惰行,-0.0 -> -0.0,0.004 -> 0.004,0.0,0.0,0.0,0.0,0.0
1360 -> 1360,0.1,0_加速,14.3 -> 14.3,0.005 -> 0.005,0.0,0.0,0.0,-7.2,-7.2
1370 -> 1370,0.1,1_惰行,14.0 -> 14.0,0.006 -> 0.006,0.0,0.0,0.0,-7.2,-7.2
1380 -> 1380,0.1,0_加速,28.3 -> 28.3,0.008 -> 0.008,0.0,0.0,0.0,-9.4,-9.4
1390 -> 1390,0.1,0_加速,42.5 -> 42.5,0.010 -> 0.010,0.0,0.0,0.0,-11.6,-11.6
1400 -> 1430,0.4,2_ブレーキ,29.9 -> -1.3,0.013 -> 0.016,1.0,0.0,0.0,-23.0,-22.0
1440 -> 1440,0.1,1_惰行,-0.0 -> -0.0,0.016 -> 0.016,0.0,0.0,0.0,0.0,0.0
1450 -> 1460,0.2,2_ブレーキ,-1.3 -> -1.3,0.016 -> 0.016,2.0,0.0,0.0,0.0,2.0
1470 -> 1490,0.3,1_惰行,-0.0 -> -0.0,0.016 -> 0.016,0.0,0.0,0.0,0.0,0.0
