step_range,duration_sec,action,vel_kmh_change,pos_km_change,sum_tve_reward,sum_ic_penalty,sum_ef_penalty,sum_sl_penalty,total_reward
1210 -> 1210,0.1,0_加速,14.3 -> 14.3,0.001 -> 0.001,0.0,0.0,0.0,-7.2,-7.2
1220 -> 1220,0.1,2_ブレーキ,1.7 -> 1.7,0.001 -> 0.001,0.0,0.0,0.0,-5.3,-5.3
1230 -> 1230,0.1,0_加速,15.9 -> 15.9,0.002 -> 0.002,0.0,0.0,0.0,-7.5,-7.5
1240 -> 1260,0.3,1_惰行,15.7 -> 15.2,0.003 -> 0.006,0.0,0.0,0.0,-22.1,-22.1
1270 -> 1270,0.1,2_ブレーキ,2.6 -> 2.6,0.006 -> 0.006,0.0,0.0,0.0,-5.4,-5.4
1280 -> 1280,0.1,0_加速,16.8 -> 16.8,0.007 -> 0.007,0.0,0.0,0.0,-7.6,-7.6
1290 -> 1290,0.1,1_惰行,16.6 -> 16.6,0.008 -> 0.008,0.0,0.0,0.0,-7.6,-7.6
1300 -> 1300,0.1,0_加速,30.8 -> 30.8,0.010 -> 0.010,0.0,0.0,0.0,-9.8,-9.8
1310 -> 1310,0.1,0_加速,45.1 -> 45.1,0.013 -> 0.013,0.0,0.0,0.0,-12.0,-12.0
1320 -> 1320,0.1,0_加速,59.3 -> 59.3,0.017 -> 0.017,0.0,0.0,0.0,-14.2,-14.2
1330 -> 1330,0.1,1_惰行,59.0 -> 59.0,0.022 -> 0.022,0.0,0.0,0.0,-14.1,-14.1
1340 -> 1340,0.1,2_ブレーキ,46.4 -> 46.4,0.026 -> 0.026,0.0,0.0,0.0,-12.2,-12.2
1350 -> 1350,0.1,1_惰行,46.1 -> 46.1,0.029 -> 0.029,0.0,0.0,0.0,-12.1,-12.1
1360 -> 1360,0.1,1_惰行,45.8 -> 45.8,0.033 -> 0.033,0.0,0.0,0.0,-12.1,-12.1
1370 -> 1370,0.1,0_加速,60.0 -> 60.0,0.037 -> 0.037,0.0,0.0,0.0,-14.3,-14.3
1380 -> 1380,0.1,1_惰行,59.7 -> 59.7,0.042 -> 0.042,0.0,0.0,0.0,-14.2,-14.2
1390 -> 1390,0.1,0_加速,73.9 -> 73.9,0.047 -> 0.047,0.0,0.0,0.0,-16.4,-16.4
1400 -> 1400,0.1,2_ブレーキ,61.3 -> 61.3,0.052 -> 0.052,0.0,0.0,0.0,-14.5,-14.5
1410 -> 1410,0.1,2_ブレーキ,48.7 -> 48.7,0.056 -> 0.056,0.0,0.0,0.0,-12.5,-12.5
1420 -> 1430,0.2,2_ブレーキ,36.1 -> 23.5,0.059 -> 0.062,0.0,0.0,0.0,-19.2,-19.2
1440 -> 1440,0.1,1_惰行,23.2 -> 23.2,0.063 -> 0.063,0.0,0.0,0.0,-8.6,-8.6
1450 -> 1460,0.2,2_ブレーキ,10.6 -> -1.3,0.065 -> 0.065,1.0,0.0,0.0,-6.6,-5.6
1470 -> 1470,0.1,1_惰行,-0.0 -> -0.0,0.065 -> 0.065,0.0,0.0,0.0,0.0,0.0
1480 -> 1480,0.1,0_加速,14.3 -> 14.3,0.066 -> 0.066,0.0,0.0,0.0,-7.2,-7.2
1490 -> 1500,0.2,2_ブレーキ,1.7 -> -1.3,0.066 -> 0.066,1.0,0.0,0.0,-5.3,-4.3
1510 -> 1510,0.1,0_加速,14.3 -> 14.3,0.067 -> 0.067,0.0,0.0,0.0,-7.2,-7.2
1520 -> 1530,0.2,1_惰行,14.0 -> 13.8,0.068 -> 0.069,0.0,0.0,0.0,-14.3,-14.3
1540 -> 1560,0.3,2_ブレーキ,1.2 -> -1.3,0.069 -> 0.069,3.0,0.0,0.0,0.0,3.0
1570 -> 1570,0.1,0_加速,14.3 -> 14.3,0.070 -> 0.070,0.0,0.0,0.0,-7.2,-7.2
1580 -> 1580,0.1,2_ブレーキ,1.7 -> 1.7,0.071 -> 0.071,0.0,0.0,0.0,-5.3,-5.3
1590 -> 1600,0.2,1_惰行,1.4 -> 1.2,0.071 -> 0.071,0.0,0.0,0.0,-5.2,-5.2
1610 -> 1610,0.1,0_加速,15.5 -> 15.5,0.072 -> 0.072,0.0,0.0,0.0,-7.4,-7.4
1620 -> 1620,0.1,2_ブレーキ,2.9 -> 2.9,0.072 -> 0.072,0.0,0.0,0.0,-5.4,-5.4
1630 -> 1630,0.1,1_惰行,2.6 -> 2.6,0.072 -> 0.072,0.0,0.0,0.0,-5.4,-5.4
1640 -> 1650,0.2,2_ブレーキ,-1.3 -> -1.3,0.072 -> 0.072,2.0,0.0,0.0,0.0,2.0
1660 -> 1660,0.1,1_惰行,-0.0 -> -0.0,0.072 -> 0.072,0.0,0.0,0.0,0.0,0.0
1670 -> 1670,0.1,0_加速,14.3 -> 14.3,0.073 -> 0.073,0.0,0.0,0.0,-7.2,-7.2
1680 -> 1680,0.1,2_ブレーキ,1.7 -> 1.7,0.074 -> 0.074,0.0,0.0,0.0,-5.3,-5.3
1690 -> 1690,0.1,1_惰行,1.4 -> 1.4,0.074 -> 0.074,0.0,0.0,0.0,-5.2,-5.2
1700 -> 1710,0.2,0_加速,15.7 -> 30.0,0.074 -> 0.076,0.0,0.0,0.0,-17.0,-17.0
1720 -> 1720,0.1,0_加速,44.2 -> 44.2,0.079 -> 0.079,0.0,0.0,0.0,-11.8,-11.8
1730 -> 1750,0.3,2_ブレーキ,31.6 -> 6.4,0.082 -> 0.085,0.0,0.0,0.0,-23.8,-23.8
1760 -> 1760,0.1,0_加速,20.7 -> 20.7,0.086 -> 0.086,0.0,0.0,0.0,-8.2,-8.2
1770 -> 1770,0.1,1_惰行,20.4 -> 20.4,0.088 -> 0.088,0.0,0.0,0.0,-8.1,-8.1
1780 -> 1780,0.1,2_ブレーキ,7.8 -> 7.8,0.089 -> 0.089,0.0,0.0,0.0,-6.2,-6.2
