step_range,duration_sec,action,vel_kmh_change,pos_km_change,sum_tve_reward,sum_ic_penalty,sum_ef_penalty,sum_sl_penalty,total_reward
1210 -> 1220,0.2,1_惰行,-0.0 -> -0.0,0.000 -> 0.000,0.0,0.0,0.0,0.0,0.0
1230 -> 1230,0.1,0_加速,14.3 -> 14.3,0.001 -> 0.001,0.0,0.0,0.0,-7.2,-7.2
1240 -> 1240,0.1,1_惰行,14.0 -> 14.0,0.002 -> 0.002,0.0,0.0,0.0,-7.2,-7.2
1250 -> 1250,0.1,2_ブレーキ,1.4 -> 1.4,0.002 -> 0.002,0.0,0.0,0.0,-5.2,-5.2
1260 -> 1260,0.1,1_惰行,1.2 -> 1.2,0.002 -> 0.002,0.0,0.0,0.0,0.0,0.0
1270 -> 1270,0.1,0_加速,15.4 -> 15.4,0.003 -> 0.003,0.0,0.0,0.0,-7.4,-7.4
1280 -> 1280,0.1,1_惰行,15.2 -> 15.2,0.004 -> 0.004,0.0,0.0,0.0,-7.3,-7.3
1290 -> 1290,0.1,2_ブレーキ,2.6 -> 2.6,0.005 -> 0.005,0.0,0.0,0.0,-5.4,-5.4
1300 -> 1300,0.1,0_加速,16.9 -> 16.9,0.006 -> 0.006,0.0,0.0,0.0,-7.6,-7.6
1310 -> 1310,0.1,2_ブレーキ,4.3 -> 4.3,0.006 -> 0.006,0.0,0.0,0.0,-5.7,-5.7
1320 -> 1320,0.1,0_加速,18.5 -> 18.5,0.007 -> 0.007,0.0,0.0,0.0,-7.9,-7.9
1330 -> 1330,0.1,0_加速,32.8 -> 32.8,0.009 -> 0.009,0.0,0.0,0.0,-10.1,-10.1
1340 -> 1360,0.3,1_惰行,32.5 -> 31.9,0.012 -> 0.017,0.0,0.0,0.0,-29.9,-29.9
1370 -> 1370,0.1,2_ブレーキ,19.3 -> 19.3,0.019 -> 0.019,0.0,0.0,0.0,-8.0,-8.0
1380 -> 1380,0.1,0_加速,33.6 -> 33.6,0.021 -> 0.021,0.0,0.0,0.0,-10.2,-10.2
1390 -> 1390,0.1,2_ブレーキ,21.0 -> 21.0,0.023 -> 0.023,0.0,0.0,0.0,-8.2,-8.2
1400 -> 1400,0.1,1_惰行,20.7 -> 20.7,0.025 -> 0.025,0.0,0.0,0.0,-8.2,-8.2
1410 -> 1410,0.1,0_加速,35.0 -> 35.0,0.027 -> 0.027,0.0,0.0,0.0,-10.4,-10.4
1420 -> 1420,0.1,2_ブレーキ,22.4 -> 22.4,0.029 -> 0.029,0.0,0.0,0.0,-8.5,-8.5
1430 -> 1430,0.1,1_惰行,22.1 -> 22.1,0.031 -> 0.031,0.0,0.0,0.0,-8.4,-8.4
1440 -> 1450,0.2,2_ブレーキ,9.5 -> -1.3,0.032 -> 0.032,1.0,0.0,0.0,-6.5,-5.5
1460 -> 1460,0.1,0_加速,14.3 -> 14.3,0.033 -> 0.033,0.0,0.0,0.0,-7.2,-7.2
1470 -> 1480,0.2,1_惰行,14.0 -> 13.8,0.034 -> 0.035,0.0,0.0,0.0,-14.3,-14.3
1490 -> 1490,0.1,0_加速,28.0 -> 28.0,0.036 -> 0.036,0.0,0.0,0.0,-9.3,-9.3
1500 -> 1500,0.1,1_惰行,27.7 -> 27.7,0.039 -> 0.039,0.0,0.0,0.0,-9.3,-9.3
1510 -> 1510,0.1,0_加速,42.0 -> 42.0,0.041 -> 0.041,0.0,0.0,0.0,-11.5,-11.5
1520 -> 1520,0.1,2_ブレーキ,29.4 -> 29.4,0.044 -> 0.044,0.0,0.0,0.0,-9.5,-9.5
1530 -> 1530,0.1,1_惰行,29.1 -> 29.1,0.046 -> 0.046,0.0,0.0,0.0,-9.5,-9.5
1540 -> 1540,0.1,2_ブレーキ,16.5 -> 16.5,0.048 -> 0.048,0.0,0.0,0.0,-7.5,-7.5
1550 -> 1550,0.1,0_加速,30.8 -> 30.8,0.050 -> 0.050,0.0,0.0,0.0,-9.7,-9.7
1560 -> 1560,0.1,1_惰行,30.5 -> 30.5,0.052 -> 0.052,0.0,0.0,0.0,-9.7,-9.7
1570 -> 1570,0.1,0_加速,44.7 -> 44.7,0.055 -> 0.055,0.0,0.0,0.0,-11.9,-11.9
