step,position_km,velocity_kmh,action,tve_reward,tce_penalty,ic_penalty,ef_penalty,sl_penalty,de_bonus,step_total_reward
1210,0.0006055550632043224,3.963225841522217,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1220,0.002311585637942848,7.923666954040527,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1230,0.005117273743093017,11.881014823913574,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1240,0.009021709924256447,15.834940910339355,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1250,0.014023893556691598,19.785118103027344,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1260,0.019504760418432934,19.68697166442871,1,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1270,0.025576353207711174,23.633176803588867,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1280,0.03212486053504506,23.526756286621094,1,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1290,0.03926241500378038,27.468692779541016,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1300,0.04749423965533316,31.405920028686523,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1310,0.05681897744755661,35.33811569213867,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1320,0.06723518210436347,39.26496124267578,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1330,0.07874131859357371,43.18614196777344,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1340,0.09133576363312175,47.1013298034668,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1350,0.10388474451335618,43.6013298034668,2,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1360,0.11659442138342985,47.515869140625,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1370,0.13038023474117416,51.2360954284668,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1380,0.14509085499564434,54.32502365112305,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1390,0.16061857925022027,57.151668548583984,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1400,0.17689592988982547,59.750282287597656,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1410,0.19386404493277595,62.1494255065918,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1420,0.21147127707273095,64.37310028076172,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1430,0.22967206698185044,66.44164276123047,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1440,0.2484260288444242,68.37236785888672,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1450,0.26738036824116795,68.12389373779297,1,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1460,0.28658493158507004,69.94717407226562,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1470,0.3062786139329478,71.65872955322266,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1480,0.32643214655737657,73.26988220214844,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1490,0.3470191790840697,74.7905044555664,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1500,0.368015910277921,76.22923278808594,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1510,0.38940077578480625,77.59367370605469,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1520,0.41115418260878334,78.89053344726562,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1530,0.4332582821835599,80.12574768066406,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1540,0.4556967755064245,81.30462646484375,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1550,0.47823472689853913,80.99938201904297,1,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1560,0.5009099450334545,82.13980102539062,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1570,0.5238944480524705,83.23176574707031,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1580,0.5471753828648205,84.2791748046875,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1590,0.5707409228748078,85.28557586669922,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1600,0.5945801678087883,86.25413513183594,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1610,0.6186830557678646,87.18775177001953,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1620,0.6430402857718621,88.08904266357422,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1630,0.6676432493415874,88.96040344238281,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1640,0.6924839698968526,89.80401611328125,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1650,0.7175550489374138,90.62187957763672,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1660,0.7428496181308091,91.41582489013672,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1670,0.768361296561328,92.18755340576172,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1680,0.7940841525030004,92.93861389160156,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1690,0.820012669170488,93.67046356201172,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1700,0.8461417139782805,94.3844223022461,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1710,0.8724665109031865,95.08174133300781,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1720,0.8989826155998248,95.7635726928711,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1730,0.925685892965346,96.43099212646484,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1740,0.9525724968892921,97.08502197265625,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1750,0.9796388519584858,97.72660064697266,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1760,1.006881636916007,98.35661315917969,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1770,1.0342977696984597,98.97590637207031,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1780,1.0618843938974603,99.58527374267578,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
