step_range,duration_sec,action,vel_kmh_change,pos_km_change,sum_tve_reward,sum_ic_penalty,sum_ef_penalty,sum_sl_penalty,total_reward
1210 -> 1210,0.1,0_加速,14.3 -> 14.3,0.001 -> 0.001,0.0,0.0,0.0,-21.0,-21.0
1220 -> 1230,0.2,2_ブレーキ,1.7 -> -1.3,0.001 -> 0.001,1.0,0.0,0.0,-11.3,-10.3
1240 -> 1240,0.1,1_惰行,-0.0 -> -0.0,0.001 -> 0.001,0.0,0.0,0.0,0.0,0.0
1250 -> 1250,0.1,0_加速,14.3 -> 14.3,0.002 -> 0.002,0.0,0.0,0.0,-21.0,-21.0
1260 -> 1260,0.1,0_加速,28.5 -> 28.5,0.003 -> 0.003,0.0,0.0,0.0,-32.0,-32.0
1270 -> 1270,0.1,2_ブレーキ,15.9 -> 15.9,0.005 -> 0.005,0.0,0.0,0.0,-22.3,-22.3
1280 -> 1280,0.1,0_加速,30.2 -> 30.2,0.007 -> 0.007,0.0,0.0,0.0,-33.3,-33.3
1290 -> 1290,0.1,2_ブレーキ,17.6 -> 17.6,0.009 -> 0.009,0.0,0.0,0.0,-23.6,-23.6
1300 -> 1300,0.1,2_ブレーキ,5.0 -> 5.0,0.010 -> 0.010,0.0,0.0,0.0,-13.8,-13.8
1310 -> 1310,0.1,0_加速,19.2 -> 19.2,0.011 -> 0.011,0.0,0.0,0.0,-24.9,-24.9
1320 -> 1320,0.1,0_加速,33.5 -> 33.5,0.013 -> 0.013,0.0,0.0,0.0,-35.8,-35.8
1330 -> 1330,0.1,1_惰行,33.2 -> 33.2,0.015 -> 0.015,0.0,0.0,0.0,-35.6,-35.6
1340 -> 1340,0.1,1_惰行,32.9 -> 32.9,0.018 -> 0.018,0.0,0.0,0.0,-35.4,-35.4
1350 -> 1350,0.1,1_惰行,32.7 -> 32.7,0.020 -> 0.020,0.0,0.0,0.0,-35.2,-35.2
1360 -> 1360,0.1,0_加速,46.9 -> 46.9,0.023 -> 0.023,0.0,0.0,0.0,-46.2,-46.2
1370 -> 1370,0.1,1_惰行,46.6 -> 46.6,0.027 -> 0.027,0.0,0.0,0.0,-45.9,-45.9
1380 -> 1380,0.1,2_ブレーキ,34.0 -> 34.0,0.030 -> 0.030,0.0,0.0,0.0,-36.2,-36.2
1390 -> 1390,0.1,2_ブレーキ,21.4 -> 21.4,0.032 -> 0.032,0.0,0.0,0.0,-26.5,-26.5
1400 -> 1400,0.1,1_惰行,21.1 -> 21.1,0.034 -> 0.034,0.0,0.0,0.0,-26.3,-26.3
1410 -> 1410,0.1,2_ブレーキ,8.5 -> 8.5,0.035 -> 0.035,0.0,0.0,0.0,-16.6,-16.6
1420 -> 1420,0.1,0_加速,22.8 -> 22.8,0.036 -> 0.036,0.0,0.0,0.0,-27.6,-27.6
1430 -> 1430,0.1,1_惰行,22.5 -> 22.5,0.038 -> 0.038,0.0,0.0,0.0,-27.4,-27.4
1440 -> 1440,0.1,1_惰行,22.3 -> 22.3,0.040 -> 0.040,0.0,0.0,0.0,-27.2,-27.2
1450 -> 1450,0.1,0_加速,36.5 -> 36.5,0.042 -> 0.042,0.0,0.0,0.0,-38.2,-38.2
