step_range,duration_sec,action,vel_kmh_change,pos_km_change,sum_tve_reward,sum_ic_penalty,sum_ef_penalty,sum_sl_penalty,total_reward
1210 -> 1210,0.1,0_加速,14.3 -> 14.3,0.001 -> 0.001,0.0,0.0,0.0,-21.0,-21.0
1220 -> 1220,0.1,0_加速,28.5 -> 28.5,0.002 -> 0.002,0.0,0.0,0.0,-32.0,-32.0
1230 -> 1230,0.1,0_加速,42.8 -> 42.8,0.005 -> 0.005,0.0,0.0,0.0,-43.0,-43.0
1240 -> 1240,0.1,2_ブレーキ,30.2 -> 30.2,0.008 -> 0.008,0.0,0.0,0.0,-33.3,-33.3
1250 -> 1250,0.1,1_惰行,29.9 -> 29.9,0.010 -> 0.010,0.0,0.0,0.0,-33.1,-33.1
1260 -> 1260,0.1,1_惰行,29.6 -> 29.6,0.012 -> 0.012,0.0,0.0,0.0,-32.9,-32.9
1270 -> 1270,0.1,1_惰行,29.3 -> 29.3,0.015 -> 0.015,0.0,0.0,0.0,-32.6,-32.6
1280 -> 1280,0.1,0_加速,43.6 -> 43.6,0.018 -> 0.018,0.0,0.0,0.0,-43.6,-43.6
1290 -> 1290,0.1,2_ブレーキ,31.0 -> 31.0,0.020 -> 0.020,0.0,0.0,0.0,-33.9,-33.9
1300 -> 1300,0.1,1_惰行,30.7 -> 30.7,0.023 -> 0.023,0.0,0.0,0.0,-33.7,-33.7
1310 -> 1310,0.1,0_加速,44.9 -> 44.9,0.026 -> 0.026,0.0,0.0,0.0,-44.7,-44.7
1320 -> 1320,0.1,1_惰行,44.6 -> 44.6,0.029 -> 0.029,0.0,0.0,0.0,-44.4,-44.4
1330 -> 1330,0.1,2_ブレーキ,32.0 -> 32.0,0.032 -> 0.032,0.0,0.0,0.0,-34.7,-34.7
1340 -> 1340,0.1,1_惰行,31.8 -> 31.8,0.035 -> 0.035,0.0,0.0,0.0,-34.5,-34.5
1350 -> 1350,0.1,0_加速,46.0 -> 46.0,0.038 -> 0.038,0.0,0.0,0.0,-45.5,-45.5
1360 -> 1360,0.1,2_ブレーキ,33.4 -> 33.4,0.041 -> 0.041,0.0,0.0,0.0,-35.8,-35.8
1370 -> 1370,0.1,2_ブレーキ,20.8 -> 20.8,0.043 -> 0.043,0.0,0.0,0.0,-26.1,-26.1
1380 -> 1380,0.1,2_ブレーキ,8.2 -> 8.2,0.044 -> 0.044,0.0,0.0,0.0,-16.3,-16.3
1390 -> 1390,0.1,1_惰行,8.0 -> 8.0,0.044 -> 0.044,0.0,0.0,0.0,-16.1,-16.1
1400 -> 1400,0.1,1_惰行,7.7 -> 7.7,0.045 -> 0.045,0.0,0.0,0.0,-16.0,-16.0
1410 -> 1410,0.1,2_ブレーキ,-1.3 -> -1.3,0.045 -> 0.045,1.0,0.0,0.0,0.0,1.0
1420 -> 1420,0.1,0_加速,14.3 -> 14.3,0.046 -> 0.046,0.0,0.0,0.0,-21.0,-21.0
1430 -> 1430,0.1,1_惰行,14.0 -> 14.0,0.047 -> 0.047,0.0,0.0,0.0,-20.8,-20.8
