step,position_km,velocity_kmh,action,tve_reward,tce_penalty,ic_penalty,ef_penalty,sl_penalty,de_bonus,step_total_reward
1210,0.0006055550632043224,14.26761302947998,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1220,0.0016956487842665388,14.013124179840089,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1230,0.003382050691611927,28.27090015411377,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1240,0.006168125526804904,42.517563629150395,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1250,0.00943611980920918,42.21881103515625,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1260,0.012159021849949065,29.618811035156252,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1270,0.01390970166846673,17.01881103515625,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1280,0.014688159264762171,4.418810606002808,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1290,0.01563454297955321,18.68339252471924,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1300,0.01706509291760319,18.42260284423828,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1310,0.018475536218564313,18.162190818786623,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1320,0.019865902030363262,17.90215644836426,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1330,0.020712519035548216,5.302156448364258,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1340,0.02077894361539997,-1.259999978542328,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1350,0.02077894361539997,-1.259999978542328,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1360,0.02077894361539997,-1.259999978542328,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1370,0.02077894361539997,-1.259999978542328,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1380,0.02077894361539997,-1.259999978542328,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1390,0.021384498678604296,14.26761302947998,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1400,0.02309052925334282,28.525201034545898,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1410,0.02589621735849299,42.77165336608887,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1420,0.029183798808047928,42.47246131896973,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1430,0.03306516051728617,56.70686645507813,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1440,0.03742691454923192,56.38235092163086,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
