step,position_km,velocity_kmh,action,tve_reward,tce_penalty,ic_penalty,ef_penalty,sl_penalty,de_bonus,step_total_reward
1210,0.0,-1.259999978542328,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1220,0.0,-0.02357960119843483,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1230,0.0006055492073694182,14.267537498474121,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1240,0.002311573930380386,28.52512550354004,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1250,0.0045008855072556486,28.249468231201174,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1260,0.006668945553486691,27.97424182891846,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1270,0.008292729676765203,15.374241828918457,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1280,0.010084114025565881,29.63100929260254,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1290,0.012358682162792352,29.35361137390137,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1300,0.014611864654089037,29.076649475097657,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1310,0.017460083724442462,43.32264862060547,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1320,0.02079013938003502,43.02249526977539,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1330,0.023575054263184674,30.422495269775393,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1340,0.02591064071070076,30.143840789794922,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1350,0.028841167982201533,44.388954162597656,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1360,0.032870334265921584,58.62161865234375,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1370,0.037379675965503865,58.293443298339845,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1380,0.04248116199045711,72.51280059814454,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1390,0.04806117268406642,72.15680236816407,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1400,0.05361374598628974,71.80154571533204,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1410,0.05975693640116887,86.00688858032227,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1420,0.06637691812672837,85.62170104980468,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1430,0.07296721499546442,85.23737182617188,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1440,0.07952789343738144,84.85390090942383,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1450,0.08667759915779506,99.04468688964845,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1460,0.09430229995065688,98.62926635742188,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1470,0.10189498853566947,98.21483459472657,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1480,0.1089385712393905,85.61483459472656,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1490,0.11614695371159853,99.8047348022461,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1500,0.1233132143730163,87.2047348022461,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1510,0.13064419717896877,101.39279479980469,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1520,0.13844983886685414,100.97171630859376,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1530,0.14684238979390227,115.14314575195313,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1540,0.15570755315861062,114.68763885498048,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1550,0.16453761934995934,114.23330612182617,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1560,0.17333267886547576,113.78014755249023,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1570,0.18271284245312636,127.93510437011719,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1580,0.1931843971385862,142.07074584960938,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1590,0.2041241720283822,141.54141082763672,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1600,0.2150231680838452,141.01360015869142,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1610,0.22650307088497917,155.1303451538086,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1620,0.23793828275651635,142.5303451538086,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1630,0.24891346402040523,141.9996780395508,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1640,0.260469390887229,156.11495361328124,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1650,0.27198057543478854,143.51495361328125,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1660,0.2825195377601258,130.91495361328126,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1670,0.29259986894182016,130.4172317504883,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1680,0.3021282047564237,117.81723175048829,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1690,0.31068431834880494,105.21723175048828,2,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1700,0.31940423065773854,119.38330535888672,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1710,0.3285960975585551,118.91674346923828,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1720,0.3377520159104899,118.45140380859375,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1730,0.3474923530961049,132.6001190185547,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1740,0.35770251331814895,132.09771423339845,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1750,0.36849500823086345,146.22745056152345,0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1760,0.37975499996959605,145.68594818115236,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1770,0.39097327769426177,145.14605255126955,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1780,0.4021499641106283,144.60774993896484,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1790,0.4132851813005426,144.07101287841797,1,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1800,0.42500080351090525,158.18319854736328,0,0.0,0.0,-2.0,-0.5,-22.447221755981445,0.0,-24.947221755981445
1810,0.43780441192548863,172.2736038208008,0,0.0,0.0,0.0,-0.5,-27.883337020874023,0.0,-28.383337020874023
