step_range,duration_sec,action,vel_kmh_change,pos_km_change,sum_tve_reward,sum_ic_penalty,sum_ef_penalty,sum_sl_penalty,total_reward
1210 -> 1210,0.1,0_加速,14.3 -> 14.3,0.001 -> 0.001,0.0,0.0,0.0,-2.0,-2.0
1220 -> 1220,0.1,1_惰行,14.0 -> 14.0,0.002 -> 0.002,0.0,0.0,0.0,-2.0,-2.0
1230 -> 1230,0.1,2_ブレーキ,1.4 -> 1.4,0.002 -> 0.002,0.0,0.0,0.0,-2.0,-2.0
1240 -> 1240,0.1,0_加速,15.7 -> 15.7,0.003 -> 0.003,0.0,0.0,0.0,-2.0,-2.0
1250 -> 1260,0.2,1_惰行,15.4 -> 15.2,0.004 -> 0.005,0.0,0.0,0.0,-4.0,-4.0
1270 -> 1270,0.1,2_ブレーキ,2.6 -> 2.6,0.006 -> 0.006,0.0,0.0,0.0,-2.0,-2.0
1280 -> 1280,0.1,1_惰行,2.3 -> 2.3,0.006 -> 0.006,0.0,0.0,0.0,-2.0,-2.0
1290 -> 1310,0.3,2_ブレーキ,-1.3 -> -1.3,0.006 -> 0.006,3.0,0.0,0.0,0.0,3.0
1320 -> 1320,0.1,0_加速,14.3 -> 14.3,0.007 -> 0.007,0.0,0.0,0.0,-2.0,-2.0
1330 -> 1330,0.1,1_惰行,14.0 -> 14.0,0.008 -> 0.008,0.0,0.0,0.0,-2.0,-2.0
1340 -> 1340,0.1,0_加速,28.3 -> 28.3,0.010 -> 0.010,0.0,0.0,0.0,-2.0,-2.0
1350 -> 1360,0.2,1_惰行,28.0 -> 27.7,0.012 -> 0.014,0.0,0.0,0.0,-4.0,-4.0
1370 -> 1400,0.4,2_ブレーキ,15.1 -> -1.3,0.015 -> 0.016,2.0,0.0,0.0,-4.0,-2.0
1410 -> 1420,0.2,0_加速,14.3 -> 28.5,0.017 -> 0.018,0.0,0.0,0.0,-4.0,-4.0
1430 -> 1430,0.1,1_惰行,28.2 -> 28.2,0.021 -> 0.021,0.0,0.0,0.0,-2.0,-2.0
1440 -> 1440,0.1,0_加速,42.5 -> 42.5,0.023 -> 0.023,0.0,0.0,0.0,-2.0,-2.0
1450 -> 1450,0.1,1_惰行,42.2 -> 42.2,0.027 -> 0.027,0.0,0.0,0.0,-2.0,-2.0
1460 -> 1460,0.1,2_ブレーキ,29.6 -> 29.6,0.029 -> 0.029,0.0,0.0,0.0,-2.0,-2.0
1470 -> 1490,0.3,0_加速,43.8 -> 72.3,0.032 -> 0.041,0.0,0.0,0.0,-6.0,-6.0
1500 -> 1500,0.1,1_惰行,71.9 -> 71.9,0.047 -> 0.047,0.0,0.0,0.0,-2.0,-2.0
1510 -> 1510,0.1,0_加速,86.1 -> 86.1,0.053 -> 0.053,0.0,0.0,0.0,-2.0,-2.0
1520 -> 1520,0.1,1_惰行,85.8 -> 85.8,0.060 -> 0.060,0.0,0.0,0.0,-2.0,-2.0
1530 -> 1530,0.1,2_ブレーキ,73.2 -> 73.2,0.066 -> 0.066,0.0,0.0,0.0,-2.0,-2.0
1540 -> 1540,0.1,1_惰行,72.8 -> 72.8,0.071 -> 0.071,0.0,0.0,0.0,-2.0,-2.0
1550 -> 1550,0.1,0_加速,87.0 -> 87.0,0.078 -> 0.078,0.0,0.0,0.0,-2.0,-2.0
1560 -> 1560,0.1,2_ブレーキ,74.4 -> 74.4,0.084 -> 0.084,0.0,0.0,0.0,-2.0,-2.0
1570 -> 1570,0.1,0_加速,88.6 -> 88.6,0.090 -> 0.090,0.0,0.0,0.0,-2.0,-2.0
1580 -> 1600,0.3,1_惰行,88.2 -> 87.4,0.097 -> 0.111,0.0,0.0,0.0,-6.0,-6.0
1610 -> 1620,0.2,0_加速,101.6 -> 115.8,0.118 -> 0.126,0.0,0.0,0.0,-4.0,-4.0
1630 -> 1630,0.1,2_ブレーキ,103.2 -> 103.2,0.135 -> 0.135,0.0,0.0,0.0,-2.0,-2.0
1640 -> 1640,0.1,0_加速,117.4 -> 117.4,0.143 -> 0.143,0.0,0.0,0.0,-2.0,-2.0
1650 -> 1650,0.1,2_ブレーキ,104.8 -> 104.8,0.152 -> 0.152,0.0,0.0,0.0,-2.0,-2.0
1660 -> 1670,0.2,1_惰行,104.3 -> 103.9,0.160 -> 0.168,0.0,0.0,0.0,-4.0,-4.0
1680 -> 1680,0.1,2_ブレーキ,91.3 -> 91.3,0.175 -> 0.175,0.0,0.0,0.0,-2.0,-2.0
1690 -> 1690,0.1,0_加速,105.5 -> 105.5,0.183 -> 0.183,0.0,0.0,0.0,-2.0,-2.0
1700 -> 1700,0.1,2_ブレーキ,92.9 -> 92.9,0.191 -> 0.191,0.0,0.0,0.0,-2.0,-2.0
1710 -> 1730,0.3,1_惰行,92.5 -> 91.7,0.198 -> 0.212,0.0,0.0,0.0,-6.0,-6.0
1740 -> 1740,0.1,2_ブレーキ,79.1 -> 79.1,0.219 -> 0.219,0.0,0.0,0.0,-2.0,-2.0
1750 -> 1750,0.1,1_惰行,78.7 -> 78.7,0.225 -> 0.225,0.0,0.0,0.0,-2.0,-2.0
1760 -> 1760,0.1,2_ブレーキ,66.1 -> 66.1,0.230 -> 0.230,0.0,0.0,0.0,-2.0,-2.0
1770 -> 1770,0.1,1_惰行,65.8 -> 65.8,0.235 -> 0.235,0.0,0.0,0.0,-2.0,-2.0
1780 -> 1780,0.1,2_ブレーキ,53.2 -> 53.2,0.240 -> 0.240,0.0,0.0,0.0,-2.0,-2.0
1790 -> 1790,0.1,0_加速,67.4 -> 67.4,0.244 -> 0.244,0.0,0.0,0.0,-2.0,-2.0
1800 -> 1800,0.1,1_惰行,67.1 -> 67.1,0.250 -> 0.250,28.9,-2.0,0.0,0.0,26.9
1810 -> 1820,0.2,0_加速,81.3 -> 95.5,0.255 -> 0.262,63.3,-2.0,-1.0,0.0,60.3
1830 -> 1830,0.1,1_惰行,95.1 -> 95.1,0.270 -> 0.270,39.7,-2.0,0.0,0.0,37.7
1840 -> 1840,0.1,2_ブレーキ,82.5 -> 82.5,0.276 -> 0.276,34.0,-2.0,0.0,0.0,32.0
1850 -> 1870,0.3,0_加速,96.6 -> 125.0,0.283 -> 0.301,34.8,-4.0,-1.5,-13.8,15.5
1880 -> 1880,0.1,0_加速,139.1 -> 139.1,0.311 -> 0.311,0.0,0.0,-0.5,-15.1,-15.6
1890 -> 1890,0.1,2_ブレーキ,126.5 -> 126.5,0.321 -> 0.321,0.0,-4.0,0.0,-10.2,-14.2
1900 -> 1900,0.1,0_加速,140.7 -> 140.7,0.331 -> 0.331,0.0,-4.0,-0.5,-15.7,-20.2
1910 -> 1910,0.1,2_ブレーキ,128.1 -> 128.1,0.342 -> 0.342,0.0,-4.0,0.0,-10.8,-14.8
1920 -> 1920,0.1,0_加速,142.2 -> 142.2,0.352 -> 0.352,0.0,-4.0,-0.5,-16.3,-20.8
1930 -> 1930,0.1,1_惰行,141.7 -> 141.7,0.363 -> 0.363,0.0,-2.0,0.0,-16.1,-18.1
1940 -> 1940,0.1,1_惰行,141.1 -> 141.1,0.374 -> 0.374,0.0,0.0,0.0,-15.9,-15.9
1950 -> 1950,0.1,2_ブレーキ,128.5 -> 128.5,0.384 -> 0.384,0.0,-2.0,0.0,-11.0,-13.0
1960 -> 1960,0.1,0_加速,142.7 -> 142.7,0.395 -> 0.395,0.0,-4.0,-0.5,-16.5,-21.0
1970 -> 1970,0.1,1_惰行,142.1 -> 142.1,0.406 -> 0.406,0.0,-2.0,0.0,-16.3,-18.3
1980 -> 1980,0.1,0_加速,156.3 -> 156.3,0.418 -> 0.418,0.0,-2.0,-0.5,-21.7,-24.2
1990 -> 1990,0.1,2_ブレーキ,143.7 -> 143.7,0.429 -> 0.429,0.0,-4.0,0.0,-16.8,-20.8
2000 -> 2000,0.1,1_惰行,143.1 -> 143.1,0.440 -> 0.440,0.0,-2.0,0.0,-16.6,-18.6
2010 -> 2020,0.2,2_ブレーキ,130.5 -> 117.9,0.451 -> 0.460,0.0,-2.0,0.0,-18.7,-20.7
2030 -> 2030,0.1,0_加速,132.1 -> 132.1,0.470 -> 0.470,0.0,-4.0,-0.5,-12.4,-16.9
2040 -> 2050,0.2,2_ブレーキ,119.5 -> 106.9,0.480 -> 0.488,0.0,-4.0,0.0,-10.2,-14.2
2060 -> 2060,0.1,0_加速,121.0 -> 121.0,0.497 -> 0.497,0.0,-4.0,-0.5,-8.1,-12.6
2070 -> 2070,0.1,0_加速,135.2 -> 135.2,0.507 -> 0.507,0.0,0.0,-0.5,-13.6,-14.1
2080 -> 2080,0.1,1_惰行,134.7 -> 134.7,0.517 -> 0.517,0.0,-2.0,0.0,-13.4,-15.4
2090 -> 2090,0.1,2_ブレーキ,122.1 -> 122.1,0.527 -> 0.527,0.0,-2.0,0.0,-8.5,-10.5
2100 -> 2100,0.1,1_惰行,121.6 -> 121.6,0.537 -> 0.537,0.0,-2.0,0.0,-8.3,-10.3
2110 -> 2110,0.1,0_加速,135.7 -> 135.7,0.547 -> 0.547,0.0,-2.0,-0.5,-13.8,-16.3
2120 -> 2120,0.1,2_ブレーキ,123.1 -> 123.1,0.557 -> 0.557,0.0,-4.0,0.0,-8.9,-12.9
2130 -> 2130,0.1,0_加速,137.3 -> 137.3,0.567 -> 0.567,0.0,-4.0,-0.5,-14.4,-18.9
2140 -> 2140,0.1,0_加速,151.4 -> 151.4,0.578 -> 0.578,0.0,0.0,-0.5,-19.8,-20.3
2150 -> 2150,0.1,0_加速,165.5 -> 165.5,0.590 -> 0.590,0.0,0.0,-0.5,-25.3,-25.8
2160 -> 2160,0.1,1_惰行,164.9 -> 164.9,0.603 -> 0.603,0.0,-2.0,0.0,-25.0,-27.0
2170 -> 2170,0.1,1_惰行,164.3 -> 164.3,0.616 -> 0.616,0.0,0.0,0.0,-24.8,-24.8
2180 -> 2180,0.1,0_加速,178.4 -> 178.4,0.629 -> 0.629,0.0,-2.0,-0.5,-30.2,-32.7
2190 -> 2190,0.1,1_惰行,177.7 -> 177.7,0.643 -> 0.643,0.0,-2.0,0.0,-30.0,-32.0
2200 -> 2200,0.1,0_加速,189.8 -> 189.8,0.657 -> 0.657,0.0,-2.0,-0.5,-34.7,-37.2
2210 -> 2210,0.1,0_加速,200.5 -> 200.5,0.672 -> 0.672,0.0,0.0,-0.5,-38.8,-39.3
2220 -> 2220,0.1,0_加速,210.2 -> 210.2,0.688 -> 0.688,0.0,0.0,-0.5,-42.5,-43.0
2230 -> 2230,0.1,1_惰行,209.5 -> 209.5,0.704 -> 0.704,0.0,-2.0,0.0,-42.2,-44.2
2240 -> 2240,0.1,2_ブレーキ,196.9 -> 196.9,0.720 -> 0.720,0.0,-2.0,0.0,-37.4,-39.4
2250 -> 2250,0.1,2_ブレーキ,184.3 -> 184.3,0.734 -> 0.734,0.0,0.0,0.0,-32.5,-32.5
2260 -> 2260,0.1,1_惰行,183.6 -> 183.6,0.749 -> 0.749,0.0,-2.0,0.0,-32.3,-34.3
2270 -> 2270,0.1,1_惰行,183.0 -> 183.0,0.763 -> 0.763,0.0,0.0,0.0,-32.0,-32.0
2280 -> 2280,0.1,1_惰行,182.3 -> 182.3,0.777 -> 0.777,0.0,0.0,0.0,-31.8,-31.8
2290 -> 2290,0.1,2_ブレーキ,169.7 -> 169.7,0.790 -> 0.790,0.0,-2.0,0.0,-26.9,-28.9
2300 -> 2300,0.1,2_ブレーキ,157.1 -> 157.1,0.803 -> 0.803,0.0,0.0,0.0,-22.0,-22.0
2310 -> 2310,0.1,1_惰行,156.5 -> 156.5,0.815 -> 0.815,0.0,-2.0,0.0,-21.8,-23.8
2320 -> 2320,0.1,1_惰行,156.0 -> 156.0,0.827 -> 0.827,0.0,0.0,0.0,-21.6,-21.6
2330 -> 2330,0.1,2_ブレーキ,143.4 -> 143.4,0.839 -> 0.839,0.0,-2.0,0.0,-16.7,-18.7
2340 -> 2340,0.1,0_加速,157.5 -> 157.5,0.850 -> 0.850,0.0,-4.0,-0.5,-22.2,-26.7
2350 -> 2350,0.1,0_加速,171.6 -> 171.6,0.863 -> 0.863,0.0,0.0,-0.5,-27.6,-28.1
2360 -> 2360,0.1,0_加速,184.8 -> 184.8,0.877 -> 0.877,0.0,0.0,-0.5,-32.7,-33.2
2370 -> 2370,0.1,0_加速,195.8 -> 195.8,0.891 -> 0.891,0.0,0.0,-0.5,-37.0,-37.5
2380 -> 2380,0.1,2_ブレーキ,183.2 -> 183.2,0.906 -> 0.906,0.0,-4.0,0.0,-32.1,-36.1
2390 -> 2390,0.1,1_惰行,182.6 -> 182.6,0.920 -> 0.920,0.0,-2.0,0.0,-31.9,-33.9
2400 -> 2400,0.1,2_ブレーキ,170.0 -> 170.0,0.934 -> 0.934,0.0,-2.0,0.0,-27.0,-29.0
2410 -> 2410,0.1,2_ブレーキ,157.4 -> 157.4,0.946 -> 0.946,0.0,0.0,0.0,-22.1,-22.1
2420 -> 2420,0.1,1_惰行,156.8 -> 156.8,0.958 -> 0.958,0.0,-2.0,0.0,-21.9,-23.9
2430 -> 2430,0.1,2_ブレーキ,144.2 -> 144.2,0.970 -> 0.970,0.0,-2.0,0.0,-17.1,-19.1
2440 -> 2440,0.1,0_加速,158.3 -> 158.3,0.982 -> 0.982,0.0,-4.0,-0.5,-22.5,-27.0
2450 -> 2450,0.1,2_ブレーキ,145.7 -> 145.7,0.993 -> 0.993,0.0,-4.0,0.0,-17.6,-21.6
2460 -> 2460,0.1,0_加速,159.8 -> 159.8,1.005 -> 1.005,0.0,-4.0,-0.5,-23.1,-27.5
2470 -> 2470,0.1,2_ブレーキ,147.2 -> 147.2,1.017 -> 1.017,0.0,-4.0,0.0,-18.2,-22.2
2480 -> 2480,0.1,1_惰行,146.7 -> 146.7,1.028 -> 1.028,0.0,-2.0,0.0,-18.0,-20.0
2490 -> 2490,0.1,0_加速,160.8 -> 160.8,1.040 -> 1.040,0.0,-2.0,-0.5,-23.5,-25.9
2500 -> 2500,0.1,1_惰行,160.2 -> 160.2,1.053 -> 1.053,0.0,-2.0,0.0,-23.2,-25.2
2510 -> 2510,0.1,0_加速,174.3 -> 174.3,1.066 -> 1.066,0.0,-2.0,-0.5,-28.7,-31.1
2520 -> 2520,0.1,1_惰行,173.7 -> 173.7,1.079 -> 1.079,0.0,-2.0,0.0,-28.4,-30.4
2530 -> 2530,0.1,0_加速,186.6 -> 186.6,1.093 -> 1.093,0.0,-2.0,-0.5,-33.4,-35.8
2540 -> 2540,0.1,2_ブレーキ,174.0 -> 174.0,1.107 -> 1.107,0.0,-4.0,0.0,-28.5,-32.5
2550 -> 2550,0.1,1_惰行,173.3 -> 173.3,1.120 -> 1.120,0.0,-2.0,0.0,-28.3,-30.2
2560 -> 2560,0.1,2_ブレーキ,160.7 -> 160.7,1.133 -> 1.133,0.0,-2.0,0.0,-23.4,-25.4
2570 -> 2570,0.1,2_ブレーキ,148.1 -> 148.1,1.145 -> 1.145,0.0,0.0,0.0,-18.6,-18.5
2580 -> 2580,0.1,2_ブレーキ,135.5 -> 135.5,1.156 -> 1.156,0.0,0.0,0.0,-13.7,-13.6
2590 -> 2590,0.1,1_惰行,135.0 -> 135.0,1.166 -> 1.166,0.0,-2.0,0.0,-13.5,-15.4
2600 -> 2600,0.1,2_ブレーキ,122.4 -> 122.4,1.176 -> 1.176,0.0,-2.0,0.0,-8.7,-10.6
2610 -> 2610,0.1,0_加速,136.6 -> 136.6,1.186 -> 1.186,0.0,-4.0,-0.5,-14.1,-18.5
2620 -> 2620,0.1,0_加速,150.7 -> 150.7,1.197 -> 1.197,0.0,0.0,-0.5,-19.6,-20.0
2630 -> 2650,0.3,2_ブレーキ,138.1 -> 112.9,1.208 -> 1.228,0.0,-4.0,0.0,-29.5,-33.2
2660 -> 2670,0.2,1_惰行,112.4 -> 112.0,1.236 -> 1.245,0.0,-2.0,0.0,-9.4,-11.2
2680 -> 2680,0.1,2_ブレーキ,99.4 -> 99.4,1.253 -> 1.253,40.5,-2.0,0.0,0.0,38.7
2690 -> 2690,0.1,1_惰行,99.0 -> 99.0,1.261 -> 1.261,41.3,-2.0,0.0,0.0,39.4
2700 -> 2700,0.1,0_加速,113.1 -> 113.1,1.269 -> 1.269,0.0,-2.0,-0.5,-5.1,-7.4
2710 -> 2710,0.1,1_惰行,112.7 -> 112.7,1.278 -> 1.278,0.0,-2.0,0.0,-4.9,-6.8
2720 -> 2720,0.1,2_ブレーキ,100.1 -> 100.1,1.286 -> 1.286,0.0,-2.0,0.0,-0.0,-1.9
2730 -> 2730,0.1,1_惰行,99.7 -> 99.7,1.294 -> 1.294,41.5,-2.0,0.0,0.0,39.7
2740 -> 2740,0.1,0_加速,113.9 -> 113.9,1.302 -> 1.302,0.0,-2.0,-0.5,-5.3,-7.7
2750 -> 2750,0.1,0_加速,128.0 -> 128.0,1.311 -> 1.311,0.0,0.0,-0.5,-10.8,-11.1
2760 -> 2760,0.1,2_ブレーキ,115.4 -> 115.4,1.321 -> 1.321,0.0,-4.0,0.0,-5.9,-9.8
2770 -> 2770,0.1,1_惰行,115.0 -> 115.0,1.330 -> 1.330,0.0,-2.0,0.0,-5.8,-7.6
2780 -> 2780,0.1,2_ブレーキ,102.4 -> 102.4,1.338 -> 1.338,0.0,-2.0,0.0,-0.9,-2.7
2790 -> 2790,0.1,1_惰行,101.9 -> 101.9,1.346 -> 1.346,0.0,-2.0,0.0,-0.7,-2.6
2800 -> 2810,0.2,2_ブレーキ,89.3 -> 76.7,1.353 -> 1.359,68.4,-2.0,0.0,0.0,66.8
