segment,tve_reward_max,tve_reward_mean,tve_reward_min,tce_penalty_max,tce_penalty_mean,tce_penalty_min,ic_penalty_max,ic_penalty_mean,ic_penalty_min,ef_penalty_max,ef_penalty_mean,ef_penalty_min,sl_penalty_max,sl_penalty_mean,sl_penalty_min,de_bonus_max,de_bonus_mean,de_bonus_min
0,1.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.75,-5.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,-5.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,-5.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,-5.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,-5.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,-5.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,-5.0,0.0,0.0,0.0
7,183.22,111.51,0.0,0.0,-0.31,-0.5,0.0,-1.75,-5.0,0.0,-0.06,-0.5,0.0,-1.88,-5.0,0.0,0.0,0.0
8,181.06,172.27,165.23,-0.5,-0.5,-0.5,0.0,-2.25,-5.0,0.0,-0.25,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
9,190.7,177.08,167.71,-0.5,-0.5,-0.5,0.0,-1.62,-5.0,0.0,-0.31,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
10,213.49,206.07,195.67,-0.5,-0.5,-0.5,0.0,-0.75,-2.0,0.0,-0.31,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
11,226.65,219.83,214.42,-0.5,-0.5,-0.5,0.0,-1.88,-5.0,0.0,-0.31,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
12,219.43,212.76,203.22,-0.5,-0.5,-0.5,0.0,-1.62,-5.0,0.0,-0.19,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
13,205.28,177.99,20.28,-0.5,-0.5,-0.5,0.0,-3.12,-5.0,0.0,-0.38,-0.5,0.0,-0.16,-1.27,0.07,0.03,0.0
14,19.82,18.0,16.02,-0.5,-3.0,-10.5,0.0,-1.0,-2.0,0.0,-0.19,-0.5,-2.65,-12.61,-22.49,0.38,0.2,0.08
15,17.35,13.23,9.38,-0.5,-6.75,-10.5,0.0,-2.25,-5.0,0.0,0.0,0.0,-24.52,-29.09,-30.0,2.28,1.18,0.47
16,13.13,3.0,0.0,-0.5,-3.0,-10.5,0.0,-2.75,-5.0,0.0,0.0,0.0,-30.0,-30.0,-30.0,4.42,1.35,0.0
17,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,-1.12,-5.0,0.0,0.0,0.0,-30.0,-30.0,-30.0,0.0,0.0,0.0
18,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,-2.62,-5.0,0.0,-0.25,-0.5,-30.0,-30.0,-30.0,0.0,0.0,0.0
19,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,-2.88,-5.0,0.0,-0.19,-0.5,-30.0,-30.0,-30.0,0.0,0.0,0.0
20,0.0,0.0,0.0,-0.5,-0.5,-0.5,-2.0,-2.38,-5.0,0.0,-0.06,-0.5,-30.0,-30.0,-30.0,0.0,0.0,0.0
21,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,-1.88,-5.0,0.0,-0.31,-0.5,-30.0,-30.0,-30.0,0.0,0.0,0.0
22,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,-1.75,-5.0,0.0,-0.38,-0.5,-30.0,-30.0,-30.0,0.0,0.0,0.0
23,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,-2.25,-5.0,0.0,-0.19,-0.5,-30.0,-30.0,-30.0,0.0,0.0,0.0
24,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,-2.88,-5.0,0.0,-0.12,-0.5,-30.0,-30.0,-30.0,0.0,0.0,0.0
25,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,-0.75,-2.0,0.0,-0.19,-0.5,-30.0,-30.0,-30.0,0.0,0.0,0.0
26,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,-2.75,-5.0,0.0,-0.25,-0.5,-30.0,-30.0,-30.0,0.0,0.0,0.0
27,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,-1.75,-5.0,0.0,-0.31,-0.5,-30.0,-30.0,-30.0,0.0,0.0,0.0
28,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,-1.88,-5.0,0.0,-0.19,-0.5,-30.0,-30.0,-30.0,0.0,0.0,0.0
29,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,-2.0,-5.0,0.0,-0.31,-0.5,-30.0,-30.0,-30.0,0.0,0.0,0.0
