r,l,t
-1565.173868,722,1.460633
-1599.112688,650,1.872498
-3347.314541,612,2.250431
-3360.138148,565,3.45481
-1702.026314,655,3.86293
1457.163876,635,4.265485
-2788.976823,629,5.504972
-2419.691404,669,5.919914
-3866.644022,489,6.24929
1950.589377,497,6.579019
1541.172041,569,7.6787
-1841.537258,516,8.016762
-2545.368832,463,8.332971
988.96867,497,8.665814
-4564.241578,517,9.745035
-4637.954799,522,10.088929
-1371.193616,548,10.442169
-3757.050904,521,11.491374
-761.114409,487,11.873518
-1360.442259,493,12.206972
-652.367152,490,12.528509
1038.019893,504,12.867433
-117.30162,461,14.031101
10.050107,433,14.322101
-1761.754574,418,14.614132
-4925.172202,492,14.943226
-5442.549169,433,15.975371
-3528.203636,416,16.299074
-4281.675672,398,16.57822
-2080.758487,412,16.862416
-1472.56994,423,17.154251
314.027685,439,18.238839
-2467.609468,379,18.528451
-2018.972939,374,18.801154
-328.852621,405,19.083099
-3593.176692,402,19.357599
-454.963988,451,20.347303
-1533.336868,386,20.648376
-960.668584,379,20.915581
-1920.963775,401,21.199696
-3279.868245,402,21.48554
-2937.408681,404,22.43909
-1466.756753,403,22.760865
-174.281961,402,23.041781
-932.813821,373,23.311027
-2375.724703,380,23.581517
-962.837434,380,23.860331
-2121.015781,421,24.916883
-840.933853,375,25.180466
-1930.111986,415,25.504538
-946.899345,403,25.784548
-303.857519,398,26.06503
-2705.032371,393,27.099785
-4676.866261,373,27.37117
-758.133688,417,27.659326
353.73022,410,27.941186
-4604.589512,380,28.210387
-2562.781102,395,29.274573
-4997.497754,377,29.537767
-3880.406608,368,29.80425
-2064.71112,391,30.084647
-2701.950111,388,30.368119
-4868.375495,363,31.358467
-3585.692181,381,31.666967
-2897.458523,360,31.929538
-3843.863589,372,32.199679
-1758.909304,393,32.476496
-3035.934998,352,32.733861
-956.452462,385,33.82701
-5338.706761,366,34.089706
-3169.265387,368,34.354707
-1155.834221,365,34.615613
-3481.032629,372,34.878283
-5484.791743,358,35.854059
-3954.181969,360,36.171944
-4698.069504,371,36.435851
-1334.784863,382,36.704582
-3416.216868,367,36.970757
-4237.2327,357,37.229726
798.045898,396,38.298759
-5001.399587,322,38.536065
-3956.670167,349,38.794793
-3750.510829,370,39.064563
-950.554531,371,39.342781
-2021.658343,381,39.610758
-3740.654301,370,40.617447
1939.998305,394,40.900661
-121.768495,382,41.18
-2251.904465,379,41.457648
-2909.021103,370,41.718283
-2121.919913,377,42.685328
-2952.801929,384,42.979642
-492.062821,438,43.281995
-4261.553641,365,43.547433
-3069.893708,368,43.814342
-3571.225074,396,44.842204
-4279.548932,403,45.172211
-1818.179783,410,45.452343
-1762.007684,406,45.743249
-1025.713729,430,46.065336
-4517.137941,359,47.09408
-1373.423576,346,47.392132
-2322.219006,403,47.679804
-3856.574092,371,47.949791
-2996.676119,351,48.203811
-4091.694068,351,48.457561
-816.40378,402,49.516852
-4159.790428,396,49.794751
-2352.935698,406,50.075059
-2722.145103,394,50.349616
-1236.474195,399,50.621747
-3895.068742,389,51.693686
-3801.352,381,51.975753
-197.772257,398,52.254195
-4110.352658,378,52.526307
-1570.476843,389,52.804004
-4930.765568,378,53.81829
849.087739,429,54.174542
-5171.226935,354,54.439943
-2454.824852,387,54.731445
-490.286366,403,55.012349
-2287.383534,372,55.279649
-4818.614689,408,56.339906
-2727.134858,422,56.634178
-6241.384211,377,56.914344
-3828.265676,409,57.205736
1296.006334,405,57.490257
-2848.172077,396,58.552083
-2979.524858,391,58.829664
-2438.710061,436,59.132903
-892.242542,392,59.420368
-824.106207,411,59.706621
-3538.00616,403,60.733706
-2537.153856,399,61.00621
-646.676037,425,61.294675
686.095257,521,61.634313
-2598.921919,441,62.667123
76.719196,441,63.00756
-3235.814377,484,63.333421
-3159.17994,398,63.619242
-3578.843012,439,63.920447
-1944.980008,406,64.982793
895.056442,414,65.279571
-2476.130026,443,65.58769
-3896.634646,395,65.868501
-3175.048519,385,66.1448
-3557.017525,437,67.214467
-6546.308268,416,67.519978
-5201.414086,382,67.794562
-3465.061624,379,68.07877
-2544.553047,349,68.330051
-2794.056918,402,69.354415
-3496.120216,423,69.703881
-6598.730139,470,70.042306
-1050.360226,440,70.349258
-81.868976,471,70.666672
-1282.169465,473,71.737388
-4033.434491,431,72.031543
-2205.10789,449,72.343046
-1072.478577,420,72.634143
816.277438,484,73.688904
-2325.261732,507,74.089132
362.825074,452,74.398369
-690.113776,468,74.708929
-3242.499942,455,75.017962
401.444539,463,76.119513
-3111.799382,441,76.419441
138.99029,429,76.710241
-360.719401,460,77.018749
-4381.463622,436,78.022566
-5222.365813,481,78.37836
-3948.093427,603,78.768681
-3000.709508,479,79.092231
-6323.139055,531,80.162542
-5283.647803,431,80.509427
-8808.626301,439,80.813242
1527.849906,458,81.123839
-4545.541191,398,81.407426
-3415.977413,427,82.473786
-2528.556383,502,82.818644
-4859.96521,486,83.144062
-6886.383178,487,83.469546
-6375.334085,482,84.532406
-4368.427891,729,85.021136
-5128.754244,486,85.34516
-9154.325125,587,85.714561
-5152.226762,513,86.809078
-5591.539761,655,87.215502
-5462.498072,433,87.512329
-8193.447373,494,87.847858
-6067.747708,428,88.85105
-4599.724338,472,89.160588
-8108.127685,409,89.448603
-7309.277221,403,89.734601
-7517.669744,455,90.807836
-3501.087994,360,91.116829
-6708.906328,399,91.398971
-4356.47993,403,91.675734
-7992.659555,385,91.954931
-4667.416927,411,92.269271
-3078.640181,364,93.255774
-3799.463406,383,93.528774
-5579.526776,398,93.808292
-5228.524057,373,94.071704
-7079.695103,376,94.334407
-5819.765271,384,95.367631
-3348.131085,455,95.691066
-4764.95425,391,95.961342
-4359.310761,380,96.226623
-1955.040142,446,96.526453
-4326.886969,407,97.532657
-5359.706739,425,97.837396
-6930.616783,410,98.129871
-5958.436996,390,98.40642
-4237.407985,385,98.680423
-3798.200573,375,99.687926
-4744.834658,433,100.006605
-4563.170179,382,100.285346
-7552.019168,386,100.569374
-6902.359336,371,100.843873
-6655.295239,392,101.775412
-5845.070234,346,102.082419
-4733.095441,372,102.350575
-4884.44587,358,102.605576
-6116.840778,331,102.848851
-3433.774564,359,103.106783
-2049.784553,353,104.055953
-3051.944238,358,104.334327
-4868.973199,363,104.590494
-1611.032999,362,104.847569
-5005.281937,356,105.107002
-2981.956356,393,105.395656
-2643.514742,360,106.477165
-5033.192883,379,106.747731
-4119.378262,352,107.010273
-3938.847108,386,107.281578
-9942.30471,348,107.567411
-4081.611623,362,108.571303
-4483.289311,376,108.886829
-4460.517083,383,109.160779
-5316.543616,381,109.433952
-7356.979046,376,109.693722
-5460.861753,374,109.961071
-2090.615812,372,111.048062
-2048.588872,392,111.320468
-2641.46165,368,111.583399
-6135.913628,400,111.858233
-4913.794245,359,112.108856
-2928.900712,365,113.09177
1469.313583,418,113.439302
-2723.801201,415,113.721189
-3198.993754,398,114.002584
-4859.204577,378,114.274814
-4384.603167,422,115.246844
-4894.972645,458,115.596767
-1968.494226,443,115.89746
-6326.568605,390,116.168071
-5559.31737,427,116.45692
-3014.580372,460,117.567871
-4004.28399,433,117.872394
-4928.961753,458,118.1795
-5654.439354,402,118.457401
-5483.139283,491,118.779895
-138.862427,495,119.831799
-2909.9511,515,120.16578
-3907.810724,534,120.514008
-6537.236803,530,120.861131
-8185.01924,705,122.057223
361.893514,485,122.380282
-8272.331234,727,122.824397
-5970.910175,818,124.101266
-7700.855479,726,124.544889
-3532.097505,518,124.888047
2913.827071,1080,126.25527
43.269799,1080,126.867026
5259.576806,1080,128.244753
9036.239544,1080,129.606147
-1349.364374,1080,130.262214
1341.976582,1080,131.644773
7235.887529,1080,132.261252
7195.156604,1080,133.67323
-3127.623101,1080,134.293818
-116.946347,1080,135.629405
3042.67438,1080,136.257428
6130.5818,1080,137.611992
7265.107979,1080,138.228766
14287.328155,1080,139.646852
11962.780235,1080,140.259748
13214.646319,1080,141.572927
14834.043365,1080,142.1676
6224.354457,1080,143.538802
10037.779095,1080,144.15299
7571.28269,1080,145.514482
6520.697855,1080,146.879039
11988.453676,1080,147.546044
12967.680436,1080,148.953662
11880.675795,1080,149.605869
10603.287282,1080,150.973454
13288.143939,1080,151.585684
13023.767041,1080,152.979769
7161.865594,1080,153.579769
16195.408804,1080,154.897654
12602.047489,1080,155.509084
8737.942163,1080,156.834495
14192.610392,1080,157.433073
13499.909777,1080,158.796009
12181.879488,1080,159.413582
14728.273145,1080,160.802617
13329.51792,1080,161.408079
5927.068565,1080,162.870758
8453.669994,1080,163.473607
6034.205364,1080,164.867429
8991.277556,1080,166.192165
10000.452913,1080,166.864322
13972.995468,1080,168.16421
9519.875108,1080,168.793652
13388.708252,1080,170.175237
10037.928693,1080,170.787418
7915.589305,1080,172.126018
9397.412842,1080,172.733365
8997.894916,1080,174.13473
6056.013325,1080,174.744234
9034.723223,1080,176.119025
10357.907501,1080,176.738582
1344.869984,1080,178.090743
10063.968457,1080,178.707706
4863.954197,1080,180.08363
3758.176092,1080,180.696418
5464.217166,1080,182.096079
4665.750665,1080,182.698543
-1962.585754,1080,184.098881
7379.228896,1080,185.494162
6143.953202,1080,186.160776
5606.235297,1080,187.652445
3517.782369,1080,188.280835
7218.53616,1080,189.696061
13161.21741,1080,190.298775
7845.024468,1080,191.688385
-2460.628247,1080,192.319226
8957.405478,1080,193.74723
7784.554431,1080,194.347543
11371.756866,1080,195.739845
8355.508579,1080,196.354017
12068.810136,1080,197.694855
4895.862921,1080,198.307957
6284.453429,1080,199.700843
10421.757239,1080,200.312784
1119.81115,1080,201.680162
6759.259528,1080,203.005732
2272.69039,1080,203.687715
8271.87626,1080,204.978783
9488.767087,1080,205.626613
6526.220778,1080,206.982523
5000.324617,1080,207.611616
3782.793743,1080,209.058732
1005.084858,1080,209.660708
