#{"t_start": 1776696152.2841175, "env_id": "None"}
r,l,t
-2422.525818,701,1.478205
-1322.355265,752,1.952909
-7391.163499,510,2.291089
-7214.808912,806,3.588105
-7907.991093,761,4.083621
-6314.265638,686,5.226322
-4148.862272,583,5.641517
-3326.528811,523,5.988123
-4826.982842,919,7.344224
-2185.528566,721,7.863226
-5361.475789,562,8.258868
-6925.242956,568,8.715824
-8299.326467,625,10.031201
-4728.740302,585,10.434313
-4404.565195,541,10.828825
929.462774,560,12.060476
-2369.579199,461,12.402712
782.841095,504,12.747873
-1637.719292,407,13.026752
-2949.518425,520,14.18725
-2821.222853,466,14.58754
-4199.802766,473,14.918847
-1703.11051,500,15.25759
-5728.276338,470,15.570251
-908.216801,492,16.64514
-912.420565,580,17.015464
-617.812721,439,17.321254
-3665.187341,476,17.648798
-1298.783474,482,18.791806
-1219.798538,509,19.124141
-1235.970548,504,19.450251
-3777.048445,466,19.771563
-5746.279485,481,21.022966
-4183.734005,428,21.338903
-2801.74183,499,21.668082
-4364.499149,453,21.977803
-3330.326611,494,22.978558
-3426.473654,479,23.348815
-1179.377385,480,23.657275
988.281747,445,23.959708
-5837.21699,459,24.274327
-4632.599095,436,25.362659
-1953.650491,562,25.725451
-4852.685419,515,26.065683
-2595.764905,672,26.483762
-3154.26246,737,27.70676
-4991.151059,692,28.135848
-2341.289114,810,29.513438
-3837.483936,734,29.976331
-3758.125195,654,30.402963
-6937.550698,1023,31.684289
-8547.326769,901,32.217928
-7537.967521,1080,33.681704
-9187.103542,963,34.231443
-7986.71829,921,35.671523
-5695.913691,751,36.141447
-3284.006285,581,36.501458
-4161.687397,780,37.653777
-6060.173975,740,38.129655
-6038.086529,504,38.470119
-743.530095,1080,39.882011
-8493.899136,1075,40.489727
-5329.420375,860,41.760875
-2100.446887,1080,42.373335
-1859.134739,1080,43.843838
-100.462819,1080,44.4605
-4527.998375,932,45.785768
-4377.411773,1080,46.403288
1611.870579,1080,47.768148
3299.886481,1080,48.385221
7883.116821,1080,49.854238
7264.028112,1080,50.472007
9030.506689,1080,51.883191
2533.70785,1080,52.481251
11832.812622,1080,53.953928
9427.578635,1080,55.337719
11371.281002,1080,55.984447
3145.946792,1080,57.301717
7074.210346,1080,57.938946
9243.662039,1080,59.293725
8664.326238,1080,59.911366
9206.279311,1080,61.172227
10485.492859,1080,61.794068
7924.129752,1080,63.130815
4795.165776,1080,63.75556
8476.343749,1080,65.161344
4041.901253,1080,65.759315
8527.857255,1080,67.242039
3007.577007,1080,67.859732
10792.756369,1080,69.314674
7035.939961,1080,69.925576
7956.898513,1080,71.269848
8918.882591,1080,72.631146
11621.145922,1080,73.337651
2736.500448,1080,74.808285
4411.64103,1080,75.444823
4399.441069,1080,76.8822
10277.01931,1080,77.486664
9860.009415,1080,78.851333
10778.542537,1080,79.509953
11401.463288,1080,80.869032
11901.809479,1080,81.493042
11660.660492,1080,82.762277
10554.274787,1080,83.382321
5333.683684,1080,84.776473
11678.194503,1080,85.394799
12101.441828,1080,86.849798
9628.99953,1080,87.448546
11560.566514,1080,88.85719
11084.988732,1080,89.479509
11581.129846,1080,90.959981
11793.982078,1080,92.182082
11765.674833,1080,92.847259
11886.778526,1080,94.194496
9489.239281,1080,94.837585
8739.863056,1080,96.198034
9699.746822,1080,96.818734
13116.877248,1080,98.237038
