step_range,duration_sec,action,vel_kmh_change,pos_km_change,sum_tve_reward,sum_ic_penalty,sum_ef_penalty,sum_sl_penalty,total_reward
1210 -> 1210,0.1,0_加速,14.3 -> 14.3,0.001 -> 0.001,0.0,0.0,0.0,-2.0,-2.0
1220 -> 1220,0.1,2_ブレーキ,1.7 -> 1.7,0.001 -> 0.001,0.0,0.0,0.0,-2.0,-2.0
1230 -> 1230,0.1,0_加速,15.9 -> 15.9,0.002 -> 0.002,0.0,0.0,0.0,-2.0,-2.0
1240 -> 1240,0.1,2_ブレーキ,3.3 -> 3.3,0.003 -> 0.003,0.0,0.0,0.0,-2.0,-2.0
1250 -> 1250,0.1,0_加速,17.6 -> 17.6,0.003 -> 0.003,0.0,0.0,0.0,-2.0,-2.0
1260 -> 1280,0.3,2_ブレーキ,5.0 -> -1.3,0.004 -> 0.004,2.0,0.0,0.0,-2.0,0.0
1290 -> 1320,0.4,0_加速,14.3 -> 57.0,0.005 -> 0.013,0.0,0.0,0.0,-8.0,-8.0
1330 -> 1330,0.1,2_ブレーキ,44.4 -> 44.4,0.017 -> 0.017,0.0,0.0,0.0,-2.0,-2.0
1340 -> 1340,0.1,1_惰行,44.1 -> 44.1,0.021 -> 0.021,0.0,0.0,0.0,-2.0,-2.0
1350 -> 1360,0.2,0_加速,58.3 -> 72.6,0.025 -> 0.030,0.0,0.0,0.0,-4.0,-4.0
1370 -> 1370,0.1,2_ブレーキ,60.0 -> 60.0,0.035 -> 0.035,0.0,0.0,0.0,-2.0,-2.0
1380 -> 1380,0.1,0_加速,74.2 -> 74.2,0.040 -> 0.040,0.0,0.0,0.0,-2.0,-2.0
1390 -> 1400,0.2,2_ブレーキ,61.6 -> 49.0,0.045 -> 0.049,0.0,0.0,0.0,-4.0,-4.0
1410 -> 1420,0.2,0_加速,63.2 -> 77.4,0.054 -> 0.059,0.0,0.0,0.0,-4.0,-4.0
1430 -> 1430,0.1,2_ブレーキ,64.8 -> 64.8,0.065 -> 0.065,0.0,0.0,0.0,-2.0,-2.0
1440 -> 1450,0.2,0_加速,79.0 -> 93.2,0.070 -> 0.077,0.0,0.0,0.0,-4.0,-4.0
1460 -> 1500,0.5,2_ブレーキ,80.6 -> 30.2,0.084 -> 0.101,0.0,0.0,0.0,-10.0,-10.0
1510 -> 1510,0.1,0_加速,44.5 -> 44.5,0.104 -> 0.104,0.0,0.0,0.0,-2.0,-2.0
1520 -> 1520,0.1,2_ブレーキ,31.9 -> 31.9,0.106 -> 0.106,0.0,0.0,0.0,-2.0,-2.0
1530 -> 1530,0.1,0_加速,46.1 -> 46.1,0.110 -> 0.110,0.0,0.0,0.0,-2.0,-2.0
1540 -> 1540,0.1,2_ブレーキ,33.5 -> 33.5,0.113 -> 0.113,0.0,0.0,0.0,-2.0,-2.0
1550 -> 1560,0.2,0_加速,47.8 -> 62.0,0.116 -> 0.120,0.0,0.0,0.0,-4.0,-4.0
1570 -> 1590,0.3,2_ブレーキ,49.4 -> 24.2,0.124 -> 0.130,0.0,0.0,0.0,-6.0,-6.0
1600 -> 1640,0.5,0_加速,38.4 -> 95.3,0.132 -> 0.153,0.0,0.0,0.0,-10.0,-10.0
1650 -> 1670,0.3,2_ブレーキ,82.7 -> 57.5,0.160 -> 0.171,0.0,0.0,0.0,-6.0,-6.0
1680 -> 1700,0.3,0_加速,71.7 -> 100.1,0.176 -> 0.189,0.0,0.0,0.0,-6.0,-6.0
1710 -> 1710,0.1,2_ブレーキ,87.5 -> 87.5,0.196 -> 0.196,0.0,0.0,0.0,-2.0,-2.0
1720 -> 1720,0.1,1_惰行,87.1 -> 87.1,0.203 -> 0.203,0.0,0.0,0.0,-2.0,-2.0
1730 -> 1730,0.1,0_加速,101.3 -> 101.3,0.210 -> 0.210,0.0,0.0,0.0,-2.0,-2.0
1740 -> 1740,0.1,1_惰行,100.9 -> 100.9,0.218 -> 0.218,0.0,0.0,0.0,-2.0,-2.0
1750 -> 1760,0.2,0_加速,115.1 -> 129.2,0.227 -> 0.236,0.0,0.0,0.0,-4.0,-4.0
1770 -> 1770,0.1,2_ブレーキ,116.6 -> 116.6,0.246 -> 0.246,0.0,0.0,0.0,-2.0,-2.0
1780 -> 1790,0.2,0_加速,130.8 -> 144.9,0.255 -> 0.266,0.0,0.0,0.0,-4.0,-4.0
1800 -> 1800,0.1,1_惰行,144.4 -> 144.4,0.277 -> 0.277,0.0,-2.0,0.0,-3.4,-5.4
1810 -> 1810,0.1,2_ブレーキ,131.8 -> 131.8,0.288 -> 0.288,0.0,-2.0,0.0,-2.5,-4.5
1820 -> 1820,0.1,1_惰行,131.3 -> 131.3,0.298 -> 0.298,0.0,-2.0,0.0,-2.4,-4.4
1830 -> 1850,0.3,2_ブレーキ,118.7 -> 93.5,0.307 -> 0.324,38.2,-2.0,0.0,-1.9,34.3
1860 -> 1860,0.1,0_加速,107.6 -> 107.6,0.331 -> 0.331,0.0,-4.0,-0.5,-0.6,-5.1
1870 -> 1880,0.2,2_ブレーキ,95.0 -> 82.4,0.339 -> 0.346,72.9,-4.0,0.0,0.0,68.9
1890 -> 1910,0.3,0_加速,96.6 -> 125.0,0.353 -> 0.370,34.8,-4.0,-1.5,-2.8,26.6
