step_range,duration_sec,action,vel_kmh_change,pos_km_change,sum_tve_reward,sum_ic_penalty,sum_ef_penalty,sum_sl_penalty,total_reward
1210 -> 1210,0.1,1_惰行,-0.0 -> -0.0,0.000 -> 0.000,0.0,0.0,0.0,0.0,0.0
1220 -> 1220,0.1,0_加速,14.3 -> 14.3,0.001 -> 0.001,0.0,0.0,0.0,-5.0,-5.0
1230 -> 1230,0.1,1_惰行,14.0 -> 14.0,0.002 -> 0.002,0.0,0.0,0.0,-5.0,-5.0
1240 -> 1240,0.1,0_加速,28.3 -> 28.3,0.003 -> 0.003,0.0,0.0,0.0,-5.0,-5.0
1250 -> 1270,0.3,1_惰行,28.0 -> 27.4,0.006 -> 0.010,0.0,0.0,0.0,-15.0,-15.0
1280 -> 1280,0.1,0_加速,41.7 -> 41.7,0.013 -> 0.013,0.0,0.0,0.0,-5.0,-5.0
1290 -> 1300,0.2,1_惰行,41.4 -> 41.1,0.016 -> 0.019,0.0,0.0,0.0,-10.0,-10.0
1310 -> 1310,0.1,2_ブレーキ,28.5 -> 28.5,0.022 -> 0.022,0.0,0.0,0.0,-5.0,-5.0
1320 -> 1330,0.2,0_加速,42.7 -> 57.0,0.024 -> 0.028,0.0,0.0,0.0,-10.0,-10.0
1340 -> 1340,0.1,1_惰行,56.7 -> 56.7,0.033 -> 0.033,0.0,0.0,0.0,-5.0,-5.0
1350 -> 1360,0.2,0_加速,70.9 -> 85.1,0.038 -> 0.044,0.0,0.0,0.0,-10.0,-10.0
1370 -> 1380,0.2,1_惰行,84.7 -> 84.3,0.050 -> 0.057,0.0,0.0,0.0,-10.0,-10.0
1390 -> 1400,0.2,0_加速,98.5 -> 112.7,0.064 -> 0.072,0.0,0.0,0.0,-10.0,-10.0
1410 -> 1410,0.1,1_惰行,112.2 -> 112.2,0.081 -> 0.081,0.0,0.0,0.0,-5.0,-5.0
1420 -> 1430,0.2,0_加速,126.4 -> 140.5,0.090 -> 0.100,0.0,0.0,0.0,-10.0,-10.0
1440 -> 1440,0.1,1_惰行,140.0 -> 140.0,0.111 -> 0.111,0.0,0.0,0.0,-5.0,-5.0
1450 -> 1460,0.2,0_加速,154.1 -> 168.2,0.123 -> 0.135,0.0,0.0,0.0,-10.0,-10.0
1470 -> 1470,0.1,2_ブレーキ,155.6 -> 155.6,0.148 -> 0.148,0.0,0.0,0.0,-5.0,-5.0
1480 -> 1500,0.3,0_加速,169.7 -> 194.6,0.160 -> 0.188,0.0,0.0,0.0,-15.0,-15.0
1510 -> 1530,0.3,1_惰行,193.9 -> 192.5,0.203 -> 0.233,0.0,0.0,0.0,-15.0,-15.0
1540 -> 1540,0.1,0_加速,202.9 -> 202.9,0.249 -> 0.249,0.0,0.0,0.0,-5.0,-5.0
1550 -> 1590,0.5,1_惰行,202.2 -> 199.3,0.264 -> 0.326,0.0,0.0,0.0,-25.0,-25.0
1600 -> 1620,0.3,0_加速,209.2 -> 226.7,0.342 -> 0.376,0.0,0.0,0.0,-15.0,-15.0
1630 -> 1670,0.5,1_惰行,225.8 -> 222.6,0.393 -> 0.462,0.0,0.0,0.0,-25.0,-25.0
1680 -> 1690,0.2,0_加速,230.7 -> 238.2,0.480 -> 0.498,0.0,0.0,0.0,-10.0,-10.0
1700 -> 1710,0.2,1_惰行,237.4 -> 236.5,0.516 -> 0.535,0.0,0.0,0.0,-10.0,-10.0
1720 -> 1720,0.1,0_加速,243.6 -> 243.6,0.553 -> 0.553,0.0,0.0,0.0,-5.0,-5.0
1730 -> 1730,0.1,1_惰行,242.7 -> 242.7,0.572 -> 0.572,0.0,0.0,0.0,-5.0,-5.0
1740 -> 1740,0.1,0_加速,249.5 -> 249.5,0.591 -> 0.591,0.0,0.0,0.0,-5.0,-5.0
1750 -> 1770,0.3,1_惰行,248.5 -> 246.7,0.610 -> 0.648,0.0,0.0,0.0,-15.0,-15.0
1780 -> 1780,0.1,2_ブレーキ,234.1 -> 234.1,0.667 -> 0.667,0.0,0.0,0.0,-5.0,-5.0
1790 -> 1790,0.1,1_惰行,233.3 -> 233.3,0.685 -> 0.685,0.0,0.0,0.0,-5.0,-5.0
1800 -> 1800,0.1,1_惰行,232.5 -> 232.5,0.703 -> 0.703,179.7,0.0,0.0,-20.4,158.7
1810 -> 1810,0.1,1_惰行,231.6 -> 231.6,0.721 -> 0.721,179.0,0.0,0.0,-20.3,158.2
1820 -> 1820,0.1,1_惰行,230.8 -> 230.8,0.739 -> 0.739,178.4,0.0,0.0,-20.2,157.7
1830 -> 1830,0.1,0_加速,238.3 -> 238.3,0.757 -> 0.757,181.3,-10.0,-0.5,-21.3,149.0
1840 -> 1840,0.1,0_加速,245.3 -> 245.3,0.775 -> 0.775,186.9,0.0,-0.5,-22.4,163.4
1850 -> 1850,0.1,0_加速,251.9 -> 251.9,0.795 -> 0.795,192.1,0.0,-0.5,-23.4,167.7
1860 -> 1860,0.1,1_惰行,250.9 -> 250.9,0.814 -> 0.814,193.9,-10.0,0.0,-23.3,160.2
1870 -> 1870,0.1,1_惰行,250.0 -> 250.0,0.833 -> 0.833,193.2,0.0,0.0,-23.2,169.6
1880 -> 1880,0.1,2_ブレーキ,237.4 -> 237.4,0.852 -> 0.852,187.6,-10.0,0.0,-21.2,155.9
1890 -> 1890,0.1,1_惰行,236.6 -> 236.6,0.870 -> 0.870,182.8,-10.0,0.0,-21.1,151.3
1900 -> 1900,0.1,0_加速,243.7 -> 243.7,0.889 -> 0.889,185.6,-10.0,-0.5,-22.2,152.4
1910 -> 1910,0.1,1_惰行,242.8 -> 242.8,0.908 -> 0.908,187.7,-10.0,0.0,-22.0,155.1
1920 -> 1920,0.1,1_惰行,241.9 -> 241.9,0.926 -> 0.926,187.0,0.0,0.0,-21.9,164.6
1930 -> 1930,0.1,0_加速,248.7 -> 248.7,0.945 -> 0.945,189.6,-10.0,-0.5,-22.9,155.6
1940 -> 1940,0.1,1_惰行,247.8 -> 247.8,0.964 -> 0.964,191.5,-10.0,0.0,-22.8,158.2
1950 -> 1950,0.1,0_加速,254.2 -> 254.2,0.984 -> 0.984,193.9,-10.0,-0.5,-23.8,159.1
1960 -> 1960,0.1,1_惰行,253.3 -> 253.3,1.003 -> 1.003,195.7,-10.0,0.0,-23.7,161.6
1970 -> 1970,0.1,1_惰行,252.3 -> 252.3,1.023 -> 1.023,195.0,0.0,0.0,-23.5,171.0
1980 -> 1980,0.1,1_惰行,251.4 -> 251.4,1.042 -> 1.042,194.3,0.0,0.0,-23.4,170.5
1990 -> 1990,0.1,0_加速,257.6 -> 257.6,1.062 -> 1.062,196.7,-10.0,-0.5,-24.3,161.3
2000 -> 2000,0.1,1_惰行,256.7 -> 256.7,1.082 -> 1.082,198.4,-10.0,0.0,-24.2,163.7
