step_range,duration_sec,action,vel_kmh_change,pos_km_change,sum_tve_reward,sum_ic_penalty,sum_ef_penalty,sum_sl_penalty,total_reward
1210 -> 1240,0.4,1_惰行,-0.0 -> -0.0,0.000 -> 0.000,0.0,0.0,0.0,0.0,0.0
1250 -> 1260,0.2,0_加速,14.3 -> 28.5,0.001 -> 0.002,0.0,0.0,0.0,-10.0,-10.0
1270 -> 1270,0.1,2_ブレーキ,15.9 -> 15.9,0.004 -> 0.004,0.0,0.0,0.0,-5.0,-5.0
1280 -> 1280,0.1,0_加速,30.2 -> 30.2,0.006 -> 0.006,0.0,0.0,0.0,-5.0,-5.0
1290 -> 1300,0.2,1_惰行,29.9 -> 29.6,0.008 -> 0.010,0.0,0.0,0.0,-10.0,-10.0
1310 -> 1310,0.1,0_加速,43.9 -> 43.9,0.013 -> 0.013,0.0,0.0,0.0,-5.0,-5.0
1320 -> 1320,0.1,1_惰行,43.6 -> 43.6,0.017 -> 0.017,0.0,0.0,0.0,-5.0,-5.0
1330 -> 1340,0.2,0_加速,57.8 -> 72.0,0.021 -> 0.026,0.0,0.0,0.0,-10.0,-10.0
1350 -> 1350,0.1,1_惰行,71.7 -> 71.7,0.031 -> 0.031,0.0,0.0,0.0,-5.0,-5.0
1360 -> 1360,0.1,2_ブレーキ,59.1 -> 59.1,0.036 -> 0.036,0.0,0.0,0.0,-5.0,-5.0
1370 -> 1380,0.2,1_惰行,58.7 -> 58.4,0.041 -> 0.045,0.0,0.0,0.0,-10.0,-10.0
1390 -> 1400,0.2,0_加速,72.6 -> 86.8,0.050 -> 0.057,0.0,0.0,0.0,-10.0,-10.0
1410 -> 1440,0.4,1_惰行,86.4 -> 85.3,0.063 -> 0.083,0.0,0.0,0.0,-20.0,-20.0
1450 -> 1450,0.1,0_加速,99.5 -> 99.5,0.090 -> 0.090,0.0,0.0,0.0,-5.0,-5.0
1460 -> 1470,0.2,1_惰行,99.1 -> 98.6,0.098 -> 0.106,0.0,0.0,0.0,-10.0,-10.0
1480 -> 1480,0.1,0_加速,112.8 -> 112.8,0.114 -> 0.114,0.0,0.0,0.0,-5.0,-5.0
1490 -> 1500,0.2,1_惰行,112.4 -> 111.9,0.123 -> 0.131,0.0,0.0,0.0,-10.0,-10.0
1510 -> 1520,0.2,0_加速,126.1 -> 140.2,0.140 -> 0.151,0.0,0.0,0.0,-10.0,-10.0
1530 -> 1710,1.9,1_惰行,139.7 -> 130.5,0.162 -> 0.349,0.0,0.0,0.0,-95.0,-95.0
1720 -> 1720,0.1,0_加速,144.6 -> 144.6,0.360 -> 0.360,0.0,0.0,0.0,-5.0,-5.0
1730 -> 1820,1.0,1_惰行,144.1 -> 139.3,0.371 -> 0.469,324.3,0.0,0.0,-53.5,269.4
1830 -> 1830,0.1,0_加速,153.5 -> 153.5,0.481 -> 0.481,113.5,-10.0,-0.5,-8.3,94.3
1840 -> 2140,3.1,1_惰行,152.9 -> 136.8,0.493 -> 0.827,3467.5,-10.0,0.0,-213.9,3228.1
2150 -> 2150,0.1,0_加速,150.9 -> 150.9,0.839 -> 0.839,111.5,-10.0,-0.5,-7.9,92.7
2160 -> 2690,5.4,1_惰行,150.3 -> 123.1,0.850 -> 1.408,5692.0,-10.0,0.0,-303.1,5351.8
2700 -> 2700,0.1,2_ブレーキ,110.5 -> 110.5,1.417 -> 1.417,89.6,-10.0,0.0,-1.6,77.5
2710 -> 2830,1.3,1_惰行,110.0 -> 104.8,1.425 -> 1.525,1079.4,-10.0,0.0,-14.9,1048.0
2840 -> 2840,0.1,2_ブレーキ,92.2 -> 92.2,1.532 -> 1.532,75.5,-10.0,0.0,0.0,65.0
2850 -> 3210,3.7,1_惰行,91.8 -> 78.0,1.539 -> 1.775,2426.6,-10.0,0.0,0.0,2398.1
3220 -> 3220,0.1,2_ブレーキ,65.4 -> 65.4,1.780 -> 1.780,54.9,-10.0,0.0,0.0,44.4
3230 -> 3340,1.2,1_惰行,65.1 -> 61.4,1.785 -> 1.839,586.7,-10.0,0.0,0.0,570.7
3350 -> 3350,0.1,0_加速,75.6 -> 75.6,1.844 -> 1.844,53.4,-10.0,-0.5,0.0,42.4
3360 -> 3400,0.5,1_惰行,75.2 -> 73.8,1.850 -> 1.873,288.0,-10.0,0.0,0.0,275.5
3410 -> 3410,0.1,0_加速,88.0 -> 88.0,1.879 -> 1.879,63.0,-10.0,-0.5,0.0,52.0
3420 -> 3450,0.4,1_惰行,87.6 -> 86.4,1.886 -> 1.906,269.1,-10.0,0.0,0.0,257.1
3460 -> 3460,0.1,2_ブレーキ,73.8 -> 73.8,1.913 -> 1.913,61.3,-10.0,0.0,0.0,50.8
3470 -> 3470,0.1,1_惰行,73.5 -> 73.5,1.918 -> 1.918,56.8,-10.0,0.0,0.0,46.3
3480 -> 3480,0.1,0_加速,87.7 -> 87.7,1.924 -> 1.924,62.7,-10.0,-0.5,0.0,51.7
3490 -> 3530,0.5,1_惰行,87.3 -> 85.7,1.931 -> 1.958,334.4,-10.0,0.0,0.0,321.9
3540 -> 3540,0.1,0_加速,99.9 -> 99.9,1.965 -> 1.965,72.2,-10.0,-0.5,-1.9,59.3
3550 -> 3560,0.2,1_惰行,99.5 -> 99.1,1.973 -> 1.981,153.5,-10.0,0.0,-8.9,133.6
3570 -> 3570,0.1,0_加速,113.3 -> 113.3,1.989 -> 1.989,82.5,-10.0,-0.5,-10.3,61.2
3580 -> 3580,0.1,1_惰行,112.8 -> 112.8,1.997 -> 1.997,87.2,-10.0,0.0,-15.7,61.0
3590 -> 3590,0.1,1_惰行,112.4 -> 112.4,2.006 -> 2.006,0.0,0.0,0.0,-22.3,-22.8
3600 -> 3600,0.1,1_惰行,111.9 -> 111.9,2.015 -> 2.015,0.0,0.0,0.0,-22.3,-22.8
3610 -> 3610,0.1,1_惰行,111.5 -> 111.5,2.023 -> 2.023,0.0,0.0,0.0,-22.2,-22.7
3620 -> 3620,0.1,1_惰行,111.0 -> 111.0,2.032 -> 2.032,0.0,0.0,0.0,-22.1,-22.6
3630 -> 3630,0.1,1_惰行,110.6 -> 110.6,2.041 -> 2.041,0.0,0.0,0.0,-22.1,-22.6
3640 -> 3640,0.1,1_惰行,110.1 -> 110.1,2.049 -> 2.049,0.0,0.0,0.0,-22.0,-22.5
3650 -> 3650,0.1,1_惰行,109.7 -> 109.7,2.058 -> 2.058,0.0,0.0,0.0,-21.9,-22.4
3660 -> 3660,0.1,1_惰行,109.2 -> 109.2,2.066 -> 2.066,0.0,0.0,0.0,-21.9,-22.4
3670 -> 3670,0.1,1_惰行,108.8 -> 108.8,2.074 -> 2.074,0.0,0.0,0.0,-21.8,-22.3
3680 -> 3680,0.1,1_惰行,108.4 -> 108.4,2.083 -> 2.083,0.0,0.0,0.0,-21.7,-22.2
3690 -> 3690,0.1,1_惰行,107.9 -> 107.9,2.091 -> 2.091,0.0,0.0,0.0,-21.7,-22.2
3700 -> 3700,0.1,1_惰行,107.5 -> 107.5,2.099 -> 2.099,0.0,0.0,0.0,-21.6,-22.1
3710 -> 3710,0.1,1_惰行,107.1 -> 107.1,2.108 -> 2.108,0.0,0.0,0.0,-21.5,-22.0
3720 -> 3720,0.1,1_惰行,106.6 -> 106.6,2.116 -> 2.116,0.0,0.0,0.0,-21.5,-22.0
3730 -> 3730,0.1,1_惰行,106.2 -> 106.2,2.124 -> 2.124,0.0,0.0,0.0,-21.4,-21.9
3740 -> 3740,0.1,1_惰行,105.8 -> 105.8,2.132 -> 2.132,0.0,0.0,0.0,-21.3,-21.8
3750 -> 3750,0.1,1_惰行,105.3 -> 105.3,2.140 -> 2.140,0.0,0.0,0.0,-21.3,-21.8
3760 -> 3760,0.1,1_惰行,104.9 -> 104.9,2.149 -> 2.149,0.0,0.0,0.0,-21.2,-21.7
3770 -> 3770,0.1,1_惰行,104.5 -> 104.5,2.157 -> 2.157,0.0,0.0,0.0,-21.1,-21.6
3780 -> 3780,0.1,1_惰行,104.0 -> 104.0,2.165 -> 2.165,0.0,0.0,0.0,-21.1,-21.6
3790 -> 3790,0.1,1_惰行,103.6 -> 103.6,2.173 -> 2.173,0.0,0.0,0.0,-21.0,-21.5
3800 -> 3800,0.1,1_惰行,103.2 -> 103.2,2.181 -> 2.181,0.0,0.0,0.0,-20.9,-21.4
3810 -> 3810,0.1,1_惰行,102.8 -> 102.8,2.189 -> 2.189,0.0,0.0,0.0,-20.9,-21.4
3820 -> 3820,0.1,1_惰行,102.3 -> 102.3,2.197 -> 2.197,0.0,0.0,0.0,-20.8,-21.3
3830 -> 3830,0.1,1_惰行,101.9 -> 101.9,2.204 -> 2.204,0.0,0.0,0.0,-20.7,-21.2
3840 -> 3840,0.1,1_惰行,101.5 -> 101.5,2.212 -> 2.212,0.0,0.0,0.0,-20.7,-21.2
3850 -> 3850,0.1,1_惰行,101.1 -> 101.1,2.220 -> 2.220,0.0,0.0,0.0,-20.6,-21.1
3860 -> 3860,0.1,1_惰行,100.6 -> 100.6,2.228 -> 2.228,0.0,0.0,0.0,-20.5,-21.0
3870 -> 3870,0.1,1_惰行,100.2 -> 100.2,2.236 -> 2.236,0.0,0.0,0.0,-20.5,-21.0
3880 -> 3880,0.1,1_惰行,99.8 -> 99.8,2.243 -> 2.243,0.0,0.0,0.0,-20.4,-20.9
3890 -> 3890,0.1,1_惰行,99.4 -> 99.4,2.251 -> 2.251,0.0,0.0,0.0,-20.3,-20.8
3900 -> 3900,0.1,1_惰行,99.0 -> 99.0,2.259 -> 2.259,0.0,0.0,0.0,-20.3,-20.8
3910 -> 3910,0.1,1_惰行,98.6 -> 98.6,2.266 -> 2.266,0.0,0.0,0.0,-20.2,-20.7
3920 -> 3920,0.1,1_惰行,98.1 -> 98.1,2.274 -> 2.274,0.0,0.0,0.0,-20.1,-20.6
3930 -> 3930,0.1,1_惰行,97.7 -> 97.7,2.281 -> 2.281,0.0,0.0,0.0,-20.1,-20.6
3940 -> 3940,0.1,1_惰行,97.3 -> 97.3,2.289 -> 2.289,0.0,0.0,0.0,-20.0,-20.5
3950 -> 3950,0.1,1_惰行,96.9 -> 96.9,2.296 -> 2.296,0.0,0.0,0.0,-20.0,-20.5
