step_range,duration_sec,action,vel_kmh_change,pos_km_change,sum_tve_reward,sum_ic_penalty,sum_ef_penalty,sum_sl_penalty,total_reward
1210 -> 1210,0.1,0_加速,14.3 -> 14.3,0.001 -> 0.001,0.0,0.0,0.0,-5.0,-5.0
1220 -> 1300,0.9,1_惰行,14.0 -> 12.0,0.002 -> 0.010,0.0,0.0,0.0,-45.0,-45.0
1310 -> 1310,0.1,0_加速,26.2 -> 26.2,0.011 -> 0.011,0.0,0.0,0.0,-5.0,-5.0
1320 -> 1400,0.9,1_惰行,26.0 -> 23.8,0.013 -> 0.029,0.0,0.0,0.0,-45.0,-45.0
1410 -> 1420,0.2,0_加速,38.1 -> 52.3,0.031 -> 0.035,0.0,0.0,0.0,-10.0,-10.0
1430 -> 1430,0.1,1_惰行,52.0 -> 52.0,0.039 -> 0.039,0.0,0.0,0.0,-5.0,-5.0
1440 -> 1440,0.1,0_加速,66.2 -> 66.2,0.043 -> 0.043,0.0,0.0,0.0,-5.0,-5.0
1450 -> 1470,0.3,1_惰行,65.9 -> 65.2,0.048 -> 0.058,0.0,0.0,0.0,-15.0,-15.0
1480 -> 1490,0.2,0_加速,79.4 -> 93.6,0.064 -> 0.071,0.0,0.0,0.0,-10.0,-10.0
1500 -> 1500,0.1,1_惰行,93.2 -> 93.2,0.078 -> 0.078,0.0,0.0,0.0,-5.0,-5.0
1510 -> 1520,0.2,0_加速,107.4 -> 121.5,0.086 -> 0.095,0.0,0.0,0.0,-10.0,-10.0
1530 -> 1670,1.5,1_惰行,121.1 -> 114.6,0.104 -> 0.231,0.0,0.0,0.0,-75.0,-75.0
1680 -> 1680,0.1,0_加速,128.7 -> 128.7,0.241 -> 0.241,0.0,0.0,0.0,-5.0,-5.0
1690 -> 1750,0.7,1_惰行,128.2 -> 125.3,0.251 -> 0.309,0.0,0.0,0.0,-35.0,-35.0
1760 -> 1760,0.1,0_加速,139.5 -> 139.5,0.320 -> 0.320,0.0,0.0,0.0,-5.0,-5.0
1770 -> 1910,1.5,1_惰行,138.9 -> 131.8,0.330 -> 0.476,1248.2,0.0,0.0,-79.0,1163.1
1920 -> 1920,0.1,0_加速,145.9 -> 145.9,0.487 -> 0.487,107.7,-10.0,-0.5,-7.1,89.6
1930 -> 2140,2.2,1_惰行,145.4 -> 134.4,0.498 -> 0.725,2377.6,-10.0,0.0,-135.2,2221.4
2150 -> 2150,0.1,0_加速,148.5 -> 148.5,0.736 -> 0.736,109.7,-10.0,-0.5,-7.5,91.2
2160 -> 2440,2.9,1_惰行,148.0 -> 133.2,0.747 -> 1.051,3149.3,-10.0,0.0,-181.3,2943.5
2450 -> 2450,0.1,0_加速,147.4 -> 147.4,1.062 -> 1.062,108.8,-10.0,-0.5,-7.3,90.5
2460 -> 2540,0.9,1_惰行,146.8 -> 142.5,1.073 -> 1.162,1006.3,-10.0,0.0,-62.0,929.8
2550 -> 2550,0.1,2_ブレーキ,129.9 -> 129.9,1.173 -> 1.173,104.6,-10.0,0.0,-4.6,89.5
2560 -> 2580,0.3,1_惰行,129.4 -> 128.4,1.183 -> 1.203,299.0,-10.0,0.0,-13.4,274.1
2590 -> 2590,0.1,0_加速,142.6 -> 142.6,1.213 -> 1.213,105.1,-10.0,-0.5,-6.6,87.5
2600 -> 2770,1.8,1_惰行,142.0 -> 133.3,1.224 -> 1.405,1914.5,-10.0,0.0,-104.5,1791.1
2780 -> 2780,0.1,2_ブレーキ,120.7 -> 120.7,1.415 -> 1.415,97.5,-10.0,0.0,-3.2,83.8
2790 -> 2870,0.9,1_惰行,120.2 -> 116.5,1.424 -> 1.497,823.1,-10.0,0.0,-25.4,783.2
2880 -> 2880,0.1,2_ブレーキ,103.9 -> 103.9,1.505 -> 1.505,84.5,-10.0,0.0,-0.6,73.4
2890 -> 2970,0.9,1_惰行,103.4 -> 100.1,1.513 -> 1.576,707.9,-10.0,0.0,-2.4,691.0
2980 -> 2980,0.1,2_ブレーキ,87.5 -> 87.5,1.583 -> 1.583,71.9,-10.0,0.0,0.0,61.4
2990 -> 3010,0.3,1_惰行,87.1 -> 86.3,1.590 -> 1.603,201.1,-10.0,0.0,0.0,189.6
