segment,tve_reward_max,tve_reward_mean,tve_reward_min,tce_penalty_max,tce_penalty_mean,tce_penalty_min,ic_penalty_max,ic_penalty_mean,ic_penalty_min,ef_penalty_max,ef_penalty_mean,ef_penalty_min,sl_penalty_max,sl_penalty_mean,sl_penalty_min,de_bonus_max,de_bonus_mean,de_bonus_min
0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.29,-5.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,-5.0,0.0,0.0,0.0
2,184.96,33.64,0.0,0.0,-0.1,-0.5,0.0,-3.33,-25.0,0.0,-0.02,-0.5,0.0,-4.05,-5.0,0.0,0.0,0.0
3,171.09,152.07,137.1,-0.5,-0.5,-0.5,0.0,-12.14,-25.0,0.0,-0.24,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
4,163.04,146.78,130.7,-0.5,-0.5,-0.5,0.0,-12.86,-25.0,0.0,-0.21,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
5,137.16,99.17,27.76,-0.5,-2.4,-20.5,0.0,-4.76,-25.0,0.0,-0.05,-0.5,0.0,0.0,0.0,0.12,0.06,0.0
6,29.04,4.83,0.0,-0.5,-3.36,-20.5,0.0,-1.43,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.13
7,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.13
8,6.06,0.56,0.0,-0.5,-1.45,-20.5,0.0,-1.43,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.13,0.13
9,6.06,0.56,0.0,-0.5,-1.45,-20.5,0.0,-1.19,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.14
10,22.94,7.19,0.0,-0.5,-5.26,-20.5,0.0,-3.1,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.15,0.14
11,33.51,10.72,0.0,-0.5,-5.26,-20.5,0.0,-2.62,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.18,0.16
12,32.66,10.03,0.0,-0.5,-7.17,-20.5,0.0,-2.14,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.22,0.2
13,21.66,4.35,0.0,-0.5,-4.31,-20.5,0.0,-3.57,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.25,0.24
14,11.81,3.84,0.0,-0.5,-3.36,-20.5,0.0,-4.05,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.27,0.26
15,21.89,4.67,0.0,-0.5,-4.31,-20.5,0.0,-3.57,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.29,0.28
16,13.29,3.71,0.0,-0.5,-4.31,-20.5,0.0,-3.81,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.32,0.31
17,17.06,2.17,0.0,-0.5,-3.36,-20.5,0.0,-2.62,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.34,0.33
18,21.89,8.4,0.0,-0.5,-3.36,-20.5,0.0,-2.62,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.39,0.36
19,21.66,3.14,0.0,-0.5,-2.4,-20.5,0.0,-2.86,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.42,0.41
20,13.08,2.92,0.0,-0.5,-3.36,-20.5,0.0,-3.1,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.46,0.44
21,23.3,11.54,1.4,-0.5,-5.26,-20.5,0.0,-3.81,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.53,0.47
22,11.61,3.28,0.0,-0.5,-2.4,-20.5,0.0,-2.38,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.61,0.59
23,21.66,3.61,0.0,-0.5,-3.36,-20.5,0.0,-2.62,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.65,0.63
24,12.35,4.68,0.0,-0.5,-3.36,-20.5,0.0,-2.62,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.71,0.68
25,6.06,0.85,0.0,-0.5,-2.4,-20.5,0.0,-2.62,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.75,0.75
26,54.09,30.19,0.0,-0.5,-6.21,-20.5,0.0,-3.1,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.97,0.77
27,75.14,50.04,2.71,-0.5,-5.26,-20.5,0.0,-3.57,-5.0,0.0,0.0,0.0,0.0,-1.12,-14.79,4.49,2.92,1.51
28,1.84,0.09,0.0,-0.5,-0.5,-0.5,0.0,-1.19,-5.0,0.0,0.0,0.0,0.0,-5.82,-27.13,4.91,0.46,0.0
29,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,-0.48,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,-0.71,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,-0.24,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,-0.71,-5.0,0.0,0.0,0.0,0.0,-0.42,-7.93,0.0,0.0,0.0
34,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,-0.95,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,-0.48,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,-1.43,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,-0.95,-5.0,0.0,0.0,0.0,0.0,-0.42,-7.93,0.0,0.0,0.0
38,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,-0.48,-5.0,0.0,0.0,0.0,0.0,-0.42,-7.93,0.0,0.0,0.0
40,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,-0.95,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,-0.95,-5.0,0.0,0.0,0.0,0.0,-0.42,-7.93,0.0,0.0,0.0
43,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,-0.48,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,-0.95,-5.0,0.0,0.0,0.0,0.0,-0.42,-7.93,0.0,0.0,0.0
45,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,-0.48,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,-1.43,-5.0,0.0,0.0,0.0,0.0,-0.84,-7.93,0.0,0.0,0.0
47,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,-1.43,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,-0.78,-5.0,0.0,0.0,0.0,0.0,-0.35,-7.93,795.33,15.59,0.0
