step_range,duration_sec,action,vel_kmh_change,pos_km_change,sum_tve_reward,sum_ic_penalty,sum_ef_penalty,sum_sl_penalty,total_reward
1210 -> 1210,0.1,0_加速,14.3 -> 14.3,0.001 -> 0.001,0.0,0.0,0.0,-2.0,-2.0
1220 -> 1220,0.1,2_ブレーキ,1.7 -> 1.7,0.001 -> 0.001,0.0,0.0,0.0,-2.0,-2.0
1230 -> 1250,0.3,0_加速,15.9 -> 44.4,0.002 -> 0.007,0.0,0.0,0.0,-6.0,-6.0
1260 -> 1260,0.1,1_惰行,44.1 -> 44.1,0.010 -> 0.010,0.0,0.0,0.0,-2.0,-2.0
1270 -> 1280,0.2,0_加速,58.4 -> 72.6,0.014 -> 0.019,0.0,0.0,0.0,-4.0,-4.0
1290 -> 1290,0.1,1_惰行,72.2 -> 72.2,0.025 -> 0.025,0.0,0.0,0.0,-2.0,-2.0
1300 -> 1300,0.1,0_加速,86.4 -> 86.4,0.031 -> 0.031,0.0,0.0,0.0,-2.0,-2.0
1310 -> 1310,0.1,1_惰行,86.0 -> 86.0,0.038 -> 0.038,0.0,0.0,0.0,-2.0,-2.0
1320 -> 1350,0.4,0_加速,100.2 -> 142.7,0.045 -> 0.073,0.0,0.0,0.0,-8.0,-8.0
1360 -> 1360,0.1,1_惰行,142.2 -> 142.2,0.084 -> 0.084,0.0,0.0,0.0,-2.0,-2.0
1370 -> 1450,0.9,0_加速,156.3 -> 238.8,0.096 -> 0.221,0.0,0.0,0.0,-18.0,-18.0
1460 -> 1460,0.1,1_惰行,237.9 -> 237.9,0.240 -> 0.240,0.0,0.0,0.0,-2.0,-2.0
1470 -> 1480,0.2,0_加速,245.0 -> 251.5,0.258 -> 0.277,0.0,0.0,0.0,-4.0,-4.0
1490 -> 1490,0.1,1_惰行,250.6 -> 250.6,0.297 -> 0.297,0.0,0.0,0.0,-2.0,-2.0
1500 -> 1520,0.3,0_加速,256.8 -> 268.2,0.316 -> 0.357,0.0,0.0,0.0,-6.0,-6.0
1530 -> 1530,0.1,2_ブレーキ,255.6 -> 255.6,0.377 -> 0.377,0.0,0.0,0.0,-2.0,-2.0
1540 -> 1790,2.6,0_加速,261.6 -> 349.2,0.397 -> 0.999,0.0,0.0,0.0,-52.0,-52.0
1800 -> 1800,0.1,0_加速,351.5 -> 351.5,1.026 -> 1.026,270.4,0.0,-0.5,-10.0,260.0
1810 -> 1810,0.1,0_加速,353.8 -> 353.8,1.054 -> 1.054,272.2,0.0,-0.5,-10.0,261.8
1820 -> 1820,0.1,0_加速,356.0 -> 356.0,1.081 -> 1.081,274.0,0.0,-0.5,-10.0,263.5
1830 -> 1830,0.1,0_加速,358.2 -> 358.2,1.108 -> 1.108,275.7,0.0,-0.5,-10.0,265.2
1840 -> 1840,0.1,0_加速,360.4 -> 360.4,1.136 -> 1.136,277.3,0.0,-0.5,-10.0,266.9
1850 -> 1850,0.1,1_惰行,359.0 -> 359.0,1.164 -> 1.164,277.5,-2.0,0.0,-10.0,265.6
1860 -> 1860,0.1,0_加速,361.1 -> 361.1,1.192 -> 1.192,277.9,-2.0,-0.5,-10.0,265.5
1870 -> 1870,0.1,0_加速,363.2 -> 363.2,1.220 -> 1.220,279.5,0.0,-0.5,-10.0,269.1
1880 -> 1880,0.1,0_加速,365.3 -> 365.3,1.248 -> 1.248,281.2,0.0,-0.5,-10.0,270.8
1890 -> 1890,0.1,0_加速,367.4 -> 367.4,1.276 -> 1.276,282.8,0.0,-0.5,-10.0,272.4
1900 -> 1900,0.1,0_加速,369.5 -> 369.5,1.305 -> 1.305,284.4,0.0,-0.5,-10.0,274.0
1910 -> 1910,0.1,0_加速,371.5 -> 371.5,1.333 -> 1.333,285.9,0.0,-0.5,-10.0,275.6
1920 -> 1920,0.1,0_加速,373.5 -> 373.5,1.362 -> 1.362,287.5,0.0,-0.5,-10.0,277.2
1930 -> 1930,0.1,0_加速,375.5 -> 375.5,1.391 -> 1.391,289.0,0.0,-0.5,-10.0,278.8
1940 -> 1940,0.1,0_加速,377.5 -> 377.5,1.420 -> 1.420,290.6,0.0,-0.5,-10.0,280.3
1950 -> 1950,0.1,0_加速,379.4 -> 379.4,1.449 -> 1.449,292.1,0.0,-0.5,-10.0,281.9
1960 -> 1960,0.1,0_加速,381.4 -> 381.4,1.478 -> 1.478,293.6,0.0,-0.5,-10.0,283.5
1970 -> 1970,0.1,0_加速,383.3 -> 383.3,1.508 -> 1.508,295.1,0.0,-0.5,-10.0,285.0
1980 -> 1980,0.1,0_加速,385.3 -> 385.3,1.538 -> 1.538,296.6,0.0,-0.5,-10.0,286.6
1990 -> 1990,0.1,0_加速,387.2 -> 387.2,1.567 -> 1.567,298.1,0.0,-0.5,-10.0,288.2
2000 -> 2000,0.1,0_加速,389.1 -> 389.1,1.597 -> 1.597,299.6,0.0,-0.5,-10.0,289.7
2010 -> 2010,0.1,0_加速,391.0 -> 391.0,1.627 -> 1.627,301.1,0.0,-0.5,-10.0,291.3
2020 -> 2020,0.1,0_加速,392.9 -> 392.9,1.658 -> 1.658,302.5,0.0,-0.5,-10.0,292.9
2030 -> 2030,0.1,0_加速,394.9 -> 394.9,1.688 -> 1.688,304.0,0.0,-0.5,-10.0,294.6
