step_range,duration_sec,action,vel_kmh_change,pos_km_change,sum_tve_reward,sum_ic_penalty,sum_ef_penalty,sum_sl_penalty,total_reward
1210 -> 1230,0.3,1_惰行,-0.0 -> -0.0,0.000 -> 0.000,0.0,0.0,0.0,0.0,0.0
1240 -> 1260,0.3,0_加速,14.3 -> 42.8,0.001 -> 0.005,0.0,0.0,0.0,-6.0,-6.0
1270 -> 1310,0.5,1_惰行,42.5 -> 41.3,0.008 -> 0.021,0.0,0.0,0.0,-10.0,-10.0
1320 -> 1320,0.1,0_加速,55.5 -> 55.5,0.025 -> 0.025,0.0,0.0,0.0,-2.0,-2.0
1330 -> 1330,0.1,2_ブレーキ,42.9 -> 42.9,0.029 -> 0.029,0.0,0.0,0.0,-2.0,-2.0
1340 -> 1360,0.3,1_惰行,42.6 -> 42.0,0.032 -> 0.039,0.0,0.0,0.0,-6.0,-6.0
1370 -> 1370,0.1,2_ブレーキ,29.4 -> 29.4,0.041 -> 0.041,0.0,0.0,0.0,-2.0,-2.0
1380 -> 1380,0.1,1_惰行,29.1 -> 29.1,0.044 -> 0.044,0.0,0.0,0.0,-2.0,-2.0
1390 -> 1390,0.1,0_加速,43.4 -> 43.4,0.047 -> 0.047,0.0,0.0,0.0,-2.0,-2.0
1400 -> 1420,0.3,2_ブレーキ,30.8 -> 5.6,0.049 -> 0.052,0.0,0.0,0.0,-6.0,-6.0
1430 -> 1430,0.1,0_加速,19.9 -> 19.9,0.053 -> 0.053,0.0,0.0,0.0,-2.0,-2.0
1440 -> 1440,0.1,1_惰行,19.6 -> 19.6,0.055 -> 0.055,0.0,0.0,0.0,-2.0,-2.0
1450 -> 1450,0.1,2_ブレーキ,7.0 -> 7.0,0.056 -> 0.056,0.0,0.0,0.0,-2.0,-2.0
1460 -> 1470,0.2,1_惰行,6.7 -> 6.5,0.056 -> 0.057,0.0,0.0,0.0,-4.0,-4.0
1480 -> 1480,0.1,2_ブレーキ,-1.3 -> -1.3,0.057 -> 0.057,1.0,0.0,0.0,0.0,1.0
