step_range,duration_sec,action,vel_kmh_change,pos_km_change,sum_tve_reward,sum_ic_penalty,sum_ef_penalty,sum_sl_penalty,total_reward
8150 -> 8150,0.1,2_ブレーキ,-1.3 -> -1.3,2.776 -> 2.776,0.0,0.0,0.0,-20.0,-26.0
8160 -> 8160,0.1,1_惰行,-0.0 -> -0.0,2.776 -> 2.776,0.0,0.0,0.0,-20.0,-26.0
8170 -> 8170,0.1,1_惰行,-0.0 -> -0.0,2.776 -> 2.776,0.0,0.0,0.0,-20.0,-26.0
8180 -> 8180,0.1,0_加速,14.3 -> 14.3,2.776 -> 2.776,0.0,-2.0,-0.5,-21.1,-24.6
8190 -> 8190,0.1,1_惰行,14.0 -> 14.0,2.778 -> 2.778,0.0,-2.0,0.0,-21.1,-24.1
8200 -> 8200,0.1,1_惰行,13.8 -> 13.8,2.779 -> 2.779,0.0,0.0,0.0,-21.1,-22.1
8210 -> 8210,0.1,1_惰行,13.5 -> 13.5,2.780 -> 2.780,0.0,0.0,0.0,-21.0,-22.0
8220 -> 8220,0.1,1_惰行,13.3 -> 13.3,2.781 -> 2.781,0.0,0.0,0.0,-21.0,-22.0
8230 -> 8230,0.1,1_惰行,13.0 -> 13.0,2.782 -> 2.782,0.0,0.0,0.0,-21.0,-22.0
8240 -> 8240,0.1,1_惰行,12.7 -> 12.7,2.783 -> 2.783,0.0,0.0,0.0,-21.0,-22.0
8250 -> 8250,0.1,1_惰行,12.5 -> 12.5,2.784 -> 2.784,0.0,0.0,0.0,-21.0,-22.0
8260 -> 8260,0.1,1_惰行,12.2 -> 12.2,2.785 -> 2.785,0.0,0.0,0.0,-20.9,-21.9
8270 -> 8270,0.1,1_惰行,12.0 -> 12.0,2.786 -> 2.786,0.0,0.0,0.0,-20.9,-21.9
8280 -> 8280,0.1,1_惰行,11.7 -> 11.7,2.786 -> 2.786,0.0,0.0,0.0,-20.9,-21.9
8290 -> 8290,0.1,1_惰行,11.5 -> 11.5,2.787 -> 2.787,0.0,0.0,0.0,-20.9,-21.9
8300 -> 8300,0.1,1_惰行,11.2 -> 11.2,2.788 -> 2.788,0.0,0.0,0.0,-20.9,-21.9
8310 -> 8310,0.1,1_惰行,11.0 -> 11.0,2.789 -> 2.789,0.0,0.0,0.0,-20.8,-21.8
8320 -> 8320,0.1,1_惰行,10.7 -> 10.7,2.790 -> 2.790,0.0,0.0,0.0,-20.8,-21.8
8330 -> 8330,0.1,1_惰行,10.5 -> 10.5,2.791 -> 2.791,0.0,0.0,0.0,-20.8,-21.8
8340 -> 8340,0.1,1_惰行,10.2 -> 10.2,2.792 -> 2.792,0.0,0.0,0.0,-20.8,-21.8
8350 -> 8350,0.1,1_惰行,10.0 -> 10.0,2.792 -> 2.792,0.0,0.0,0.0,-20.8,-21.8
8360 -> 8360,0.1,1_惰行,9.7 -> 9.7,2.793 -> 2.793,0.0,0.0,0.0,-20.8,-21.8
8370 -> 8370,0.1,0_加速,24.0 -> 24.0,2.794 -> 2.794,0.0,-2.0,-0.5,-21.9,-25.4
8380 -> 8380,0.1,1_惰行,23.7 -> 23.7,2.796 -> 2.796,0.0,-2.0,0.0,-21.8,-24.8
8390 -> 8390,0.1,1_惰行,23.5 -> 23.5,2.798 -> 2.798,0.0,0.0,0.0,-21.8,-22.8
8400 -> 8400,0.1,1_惰行,23.2 -> 23.2,2.800 -> 2.800,0.0,0.0,0.0,-21.8,-22.8
8410 -> 8410,0.1,1_惰行,22.9 -> 22.9,2.802 -> 2.802,0.0,0.0,0.0,-21.8,-22.8
8420 -> 8420,0.1,1_惰行,22.7 -> 22.7,2.803 -> 2.803,0.0,0.0,0.0,-21.7,-22.7
8430 -> 8430,0.1,1_惰行,22.4 -> 22.4,2.805 -> 2.805,0.0,0.0,0.0,-21.7,-22.7
8440 -> 8440,0.1,1_惰行,22.1 -> 22.1,2.807 -> 2.807,0.0,0.0,0.0,-21.7,-22.7
8450 -> 8450,0.1,1_惰行,21.9 -> 21.9,2.809 -> 2.809,0.0,0.0,0.0,-21.7,-22.7
8460 -> 8460,0.1,1_惰行,21.6 -> 21.6,2.810 -> 2.810,0.0,0.0,0.0,-21.7,-22.7
8470 -> 8470,0.1,1_惰行,21.3 -> 21.3,2.812 -> 2.812,0.0,0.0,0.0,-21.6,-22.6
8480 -> 8480,0.1,1_惰行,21.1 -> 21.1,2.814 -> 2.814,0.0,0.0,0.0,-21.6,-22.6
8490 -> 8490,0.1,1_惰行,20.8 -> 20.8,2.815 -> 2.815,0.0,0.0,0.0,-21.6,-22.6
8500 -> 8500,0.1,1_惰行,20.5 -> 20.5,2.817 -> 2.817,0.0,0.0,0.0,-21.6,-22.6
8510 -> 8510,0.1,1_惰行,20.3 -> 20.3,2.818 -> 2.818,0.0,0.0,0.0,-21.6,-22.6
8520 -> 8520,0.1,1_惰行,20.0 -> 20.0,2.820 -> 2.820,0.0,0.0,0.0,-21.5,-22.5
8530 -> 8530,0.1,1_惰行,19.8 -> 19.8,2.821 -> 2.821,0.0,0.0,0.0,-21.5,-22.5
8540 -> 8540,0.1,1_惰行,19.5 -> 19.5,2.823 -> 2.823,0.0,0.0,0.0,-21.5,-22.5
8550 -> 8550,0.1,1_惰行,19.2 -> 19.2,2.824 -> 2.824,0.0,0.0,0.0,-21.5,-22.5
8560 -> 8560,0.1,1_惰行,19.0 -> 19.0,2.826 -> 2.826,0.0,0.0,0.0,-21.5,-22.5
8570 -> 8570,0.1,1_惰行,18.7 -> 18.7,2.827 -> 2.827,0.0,0.0,0.0,-21.4,-22.4
8580 -> 8580,0.1,1_惰行,18.4 -> 18.4,2.829 -> 2.829,0.0,0.0,0.0,-21.4,-22.4
8590 -> 8590,0.1,1_惰行,18.2 -> 18.2,2.830 -> 2.830,0.0,0.0,0.0,-21.4,-22.4
8600 -> 8600,0.1,1_惰行,17.9 -> 17.9,2.832 -> 2.832,0.0,0.0,0.0,-21.4,-22.4
8610 -> 8610,0.1,1_惰行,17.7 -> 17.7,2.833 -> 2.833,0.0,0.0,0.0,-21.4,-22.4
8620 -> 8620,0.1,1_惰行,17.4 -> 17.4,2.834 -> 2.834,0.0,0.0,0.0,-21.3,-22.3
8630 -> 8630,0.1,1_惰行,17.1 -> 17.1,2.836 -> 2.836,0.0,0.0,0.0,-21.3,-22.3
8640 -> 8640,0.1,1_惰行,16.9 -> 16.9,2.837 -> 2.837,0.0,0.0,0.0,-21.3,-22.3
8650 -> 8650,0.1,1_惰行,16.6 -> 16.6,2.838 -> 2.838,0.0,0.0,0.0,-21.3,-22.3
8660 -> 8660,0.1,1_惰行,16.4 -> 16.4,2.839 -> 2.839,0.0,0.0,0.0,-21.3,-22.3
8670 -> 8670,0.1,1_惰行,16.1 -> 16.1,2.841 -> 2.841,0.0,0.0,0.0,-21.2,-22.2
8680 -> 8680,0.1,1_惰行,15.9 -> 15.9,2.842 -> 2.842,0.0,0.0,0.0,-21.2,-22.2
8690 -> 8690,0.1,1_惰行,15.6 -> 15.6,2.843 -> 2.843,0.0,0.0,0.0,-21.2,-22.2
8700 -> 8700,0.1,1_惰行,15.3 -> 15.3,2.844 -> 2.844,0.0,0.0,0.0,-21.2,-22.2
8710 -> 8710,0.1,1_惰行,15.1 -> 15.1,2.846 -> 2.846,0.0,0.0,0.0,-21.2,-22.2
8720 -> 8720,0.1,1_惰行,14.8 -> 14.8,2.847 -> 2.847,0.0,0.0,0.0,-21.1,-22.1
8730 -> 8730,0.1,1_惰行,14.6 -> 14.6,2.848 -> 2.848,0.0,0.0,0.0,-21.1,-22.1
8740 -> 8740,0.1,1_惰行,14.3 -> 14.3,2.849 -> 2.849,0.0,0.0,0.0,-21.1,-22.1
8750 -> 8750,0.1,1_惰行,14.1 -> 14.1,2.850 -> 2.850,0.0,0.0,0.0,-21.1,-22.1
8760 -> 8760,0.1,1_惰行,13.8 -> 13.8,2.851 -> 2.851,0.0,0.0,0.0,-21.1,-22.1
8770 -> 8770,0.1,1_惰行,13.6 -> 13.6,2.852 -> 2.852,0.0,0.0,0.0,-21.0,-22.0
8780 -> 8780,0.1,1_惰行,13.3 -> 13.3,2.853 -> 2.853,0.0,0.0,0.0,-21.0,-22.0
8790 -> 8790,0.1,1_惰行,13.1 -> 13.1,2.854 -> 2.854,0.0,0.0,0.0,-21.0,-22.0
8800 -> 8800,0.1,1_惰行,12.8 -> 12.8,2.855 -> 2.855,0.0,0.0,0.0,-21.0,-22.0
8810 -> 8810,0.1,1_惰行,12.5 -> 12.5,2.856 -> 2.856,0.0,0.0,0.0,-21.0,-22.0
8820 -> 8820,0.1,1_惰行,12.3 -> 12.3,2.857 -> 2.857,0.0,0.0,0.0,-20.9,-21.9
8830 -> 8830,0.1,1_惰行,12.0 -> 12.0,2.858 -> 2.858,0.0,0.0,0.0,-20.9,-21.9
8840 -> 8840,0.1,1_惰行,11.8 -> 11.8,2.859 -> 2.859,0.0,0.0,0.0,-20.9,-21.9
